"player" "position" "appearance" "goals" "year" "team"
"Josef Sural" "Forward" 7 6 "2016" "czech-republic"
"Kamil Vacek" "Midfielder" 2 1 "2016" "czech-republic"
"Tomas Vaclik" "Goalkeeper" 3 0 "2016" "czech-republic"
"Ondrej Vanek" "Midfielder" 0 1 "2016" "czech-republic"
"Matej Vydra" "Forward" 1 1 "2016" "czech-republic"
"Ondrej Zahustel" "Midfielder" 1 1 "2016" "czech-republic"
"Jakub Brabec" "Defender" 1 0 "2017" "czech-republic"
"Vladimir Darida" "Midfielder" 2 0 "2017" "czech-republic"
"Borek Dockal" "Midfielder" 2 0 "2017" "czech-republic"
"Lukas Droppa" "Midfielder" 1 1 "2017" "czech-republic"
"Martin Frydek" "Midfielder" 0 1 "2017" "czech-republic"
"Tomas Horava" "Midfielder" 1 0 "2017" "czech-republic"
"Pavel Kaderabek" "Midfielder" 3 0 "2017" "czech-republic"
"Michal Kadlec" "Defender" 1 1 "2017" "czech-republic"
"Vaclav Kadlec" "Forward" 3 1 "2017" "czech-republic"
"Tomas Kalas" "Defender" 0 1 "2017" "czech-republic"
"Jan Kopic" "Midfielder" 0 2 "2017" "czech-republic"
"Tomas Koubek" "Goalkeeper" 0 1 "2017" "czech-republic"
"Ladislav Krejci" "Midfielder" 4 0 "2017" "czech-republic"
"Tomas Necid" "Forward" 0 2 "2017" "czech-republic"
"Filip Novak" "Midfielder" 2 1 "2017" "czech-republic"
"David Pavelka" "Midfielder" 3 0 "2017" "czech-republic"
"Milan Petrzela" "Midfielder" 1 1 "2017" "czech-republic"
"Lukas Pokorny" "Defender" 1 0 "2017" "czech-republic"
"Daniel Pudil" "Defender/Midfielder" 1 0 "2017" "czech-republic"
"Patrick Schick" "Forward" 1 0 "2017" "czech-republic"
"Theodhor Gebre Selassie" "Defender" 1 0 "2017" "czech-republic"
"Tomas Sivok" "Midfielder" 2 0 "2017" "czech-republic"
"Jiri Skalak" "Midfielder/Forward" 3 1 "2017" "czech-republic"
"Milan Skoda" "Forward" 2 1 "2017" "czech-republic"
"Marek Suchy" "Defender/Midfielder" 3 0 "2017" "czech-republic"
"Josef Sural" "Forward" 0 1 "2017" "czech-republic"
"Jan Sykora" "Midfielder" 1 1 "2017" "czech-republic"
"Tomas Vaclik" "Goalkeeper" 4 0 "2017" "czech-republic"
"Matej Vydra" "Forward" 1 2 "2017" "czech-republic"
"Ondrej Zahustel" "Midfielder" 0 1 "2017" "czech-republic"
"Jaromir Zmrhal" "Midfielder" 0 1 "2017" "czech-republic"
"Daniel Agger" "Defender/Centre back" 8 0 "2016" "denmark"
"Lucas Andersen" "Midfielder" 1 0 "2016" "denmark"
"Peter Ankersen" "Defender" 1 1 "2016" "denmark"
"Nicklas Bendtner" "Forward" 5 0 "2016" "denmark"
"Emil Berggreen" "Forward" 1 0 "2016" "denmark"
"Martin Braithwaite" "Forward" 3 3 "2016" "denmark"
"Andreas Christensen" "Defender" 4 0 "2016" "denmark"
"Henrik Dalsgaard" "Forward" 4 0 "2016" "denmark"
"Thomas Delaney" "Midfielder" 4 2 "2016" "denmark"
"Riza Durmisi" "Defender" 10 0 "2016" "denmark"
"Christian Eriksen" "Midfielder" 8 0 "2016" "denmark"
"Viktor Fischer" "Midfielder/Forward" 3 0 "2016" "denmark"
"Pierre-Emile Hojbjerg" "Midfielder" 8 2 "2016" "denmark"
"Lars Jacobsen" "Defender" 6 0 "2016" "denmark"
"Mike Jensen" "Midfielder" 1 1 "2016" "denmark"
"Mathias Jorgensen" "Defender" 1 0 "2016" "denmark"
"Nicolai Jorgensen" "Forward" 5 3 "2016" "denmark"
"Thomas Kahlenberg" "Midfielder" 1 0 "2016" "denmark"
"Simon Kjaer" "Defender" 10 0 "2016" "denmark"
"Michael Krohn-Delhi" "Midfielder" 4 1 "2016" "denmark"
"William Kvist" "Midfielder" 4 3 "2016" "denmark"
"Jonas Lossl" "Goalkeeper" 1 1 "2016" "denmark"
"Lasse Nielsen" "Defender" 1 0 "2016" "denmark"
"Jakob Poulsen" "Defender" 2 1 "2016" "denmark"
"Yussuf Poulsen" "Forward" 4 4 "2016" "denmark"
"Morten Rasmussen" "Forward" 2 1 "2016" "denmark"
"Frederik Riss Ronnow" "Goalkeeper" 1 0 "2016" "denmark"
"Kasper Schmeichel" "Goalkeeper" 10 0 "2016" "denmark"
"Lasse Schone" "Midfielder" 0 4 "2016" "denmark"
"Pione Sisto" "Midfielder" 1 1 "2016" "denmark"
"Erik Sviatchenko" "Defender" 0 3 "2016" "denmark"
"Jannik Vestergaard" "Defender" 2 3 "2016" "denmark"
"Lasse Vibe" "Midfielder/Forward" 0 1 "2016" "denmark"
"Daniel Wass" "Defender" 1 0 "2016" "denmark"
"Peter Ankersen" "Defender" 4 0 "2017" "denmark"
"Andreas Christensen" "Defender" 4 0 "2017" "denmark"
"Andreas Cornelius" "Forward" 0 2 "2017" "denmark"
"Thomas Delaney" "Midfielder" 1 3 "2017" "denmark"
"Riza Durmisi" "Defender" 4 0 "2017" "denmark"
"Christian Eriksen" "Midfielder" 4 0 "2017" "denmark"
"Viktor Fischer" "Midfielder/Forward" 4 0 "2017" "denmark"
"Pierre-Emile Hojbjerg" "Midfielder" 4 0 "2017" "denmark"
"Mathias Jorgensen" "Defender" 1 1 "2017" "denmark"
"Nicolai Jorgensen" "Forward" 3 1 "2017" "denmark"
"Simon Kjaer" "Defender" 4 0 "2017" "denmark"
"William Kvist" "Midfielder" 3 0 "2017" "denmark"
"Jens Stryger Larsen" "Defender" 0 1 "2017" "denmark"
"Yussuf Poulsen" "Forward" 1 3 "2017" "denmark"
"Frederik Riss Ronnow" "Goalkeeper" 2 0 "2017" "denmark"
"Kasper Schmeichel" "Goalkeeper" 2 0 "2017" "denmark"
"Pione Sisto" "Midfielder" 0 2 "2017" "denmark"
"Jannik Vestergaard" "Defender" 3 0 "2017" "denmark"
"Daniel Wass" "Defender" 0 1 "2017" "denmark"
"Gabriel Achilier" "Defender" 9 0 "2016" "ecuador"
"Daniel Angulo" "Forward" 0 1 "2016" "ecuador"
"Robert Arboleda" "Defender" 0 1 "2016" "ecuador"
"Michael Arroyo" "Midfielder" 2 3 "2016" "ecuador"
"Jaime Ayovi" "Forward" 1 5 "2016" "ecuador"
"Walter Ayovi" "Defender/Midfielder" 11 0 "2016" "ecuador"
"Oscar Bagui" "Defender" 0 1 "2016" "ecuador"
"Alex Bolanos" "Midfielder" 1 1 "2016" "ecuador"
"Miller Bolanos" "Midfielder" 8 0 "2016" "ecuador"
"Felipe Caicedo" "Forward" 4 0 "2016" "ecuador"
"Segundo Castillo" "Midfielder" 1 2 "2016" "ecuador"
"Juan Cazares" "Midfielder" 1 7 "2016" "ecuador"
"Alexander Dominguez" "Goalkeeper" 10 0 "2016" "ecuador"
"Esteban Dreer" "Goalkeeper" 2 1 "2016" "ecuador"
"Frickson Erazo" "Defender" 9 1 "2016" "ecuador"
"Fernando Gaibor" "Midfielder" 0 5 "2016" "ecuador"
"Carlos Gruezo" "Midfielder" 5 1 "2016" "ecuador"
"Jorge Guagua" "Defender" 1 0 "2016" "ecuador"
"Renato Ibarra" "Midfielder/Forward" 0 2 "2016" "ecuador"
"Pedro Larrea" "Midfielder" 0 1 "2016" "ecuador"
"Fidel Martinez" "Midfielder" 4 5 "2016" "ecuador"
"Ángel Mena" "Midfielder" 2 3 "2016" "ecuador"
"Arturo Mina Meza" "Defender" 5 1 "2016" "ecuador"
"Jefferson Montero" "Midfielder/Forward" 11 0 "2016" "ecuador"
"Christian Noboa" "Midfielder" 12 0 "2016" "ecuador"
"Juan Carlos Paredes" "Defender/Midfielder" 11 0 "2016" "ecuador"
"Pedro Quinonez" "Midfielder" 5 0 "2016" "ecuador"
"Cristian Ramirez" "Defender" 1 1 "2016" "ecuador"
"Antonio Valencia" "Midfielder" 9 0 "2016" "ecuador"
"Enner Valencia" "Forward" 7 0 "2016" "ecuador"
"Gabriel Achilier" "Defender" 2 1 "2017" "ecuador"
"Michael Arroyo" "Midfielder" 0 2 "2017" "ecuador"
"Jaime Ayovi" "Forward" 0 1 "2017" "ecuador"
"Walter Ayovi" "Defender/Midfielder" 2 0 "2017" "ecuador"
"Miller Bolanos" "Midfielder" 2 0 "2017" "ecuador"
"Felipe Caicedo" "Forward" 3 0 "2017" "ecuador"
"Luis Caicedo" "Midfielder" 2 0 "2017" "ecuador"
"Juan Cazares" "Midfielder" 0 1 "2017" "ecuador"
"Alexander Dominguez" "Goalkeeper" 2 0 "2017" "ecuador"
"Esteban Dreer" "Goalkeeper" 2 0 "2017" "ecuador"
"Fernando Gaibor" "Midfielder" 0 1 "2017" "ecuador"
"Carlos Gruezo" "Midfielder" 1 1 "2017" "ecuador"
"Renato Ibarra" "Midfielder/Forward" 1 3 "2017" "ecuador"
"Fidel Martinez" "Midfielder" 2 0 "2017" "ecuador"
"Ángel Mena" "Midfielder" 0 1 "2017" "ecuador"
"Arturo Mina Meza" "Defender" 4 0 "2017" "ecuador"
"Jefferson Montero" "Midfielder/Forward" 2 0 "2017" "ecuador"
"Christian Noboa" "Midfielder" 4 0 "2017" "ecuador"
"Jefferson Orejuela" "Midfielder" 2 0 "2017" "ecuador"
"Matias Oyola" "Midfielder" 0 1 "2017" "ecuador"
"Juan Carlos Paredes" "Defender/Midfielder" 3 0 "2017" "ecuador"
"Pedro Quinonez" "Midfielder" 1 0 "2017" "ecuador"
"Cristian Ramirez" "Defender" 2 0 "2017" "ecuador"
"Antonio Valencia" "Midfielder" 3 0 "2017" "ecuador"
"Enner Valencia" "Forward" 4 0 "2017" "ecuador"
"Mohamed Abdel Shafy" "Defender" 2 0 "2016" "egypt"
"Mohamed Awad" "Goalkeeper" 1 0 "2016" "egypt"
"Ahmed Dowidar" "Midfielder" 1 0 "2016" "egypt"
"Mohamed El Shenawy" "Goalkeeper" 1 0 "2016" "egypt"
"Essam El-Hadary" "Goalkeeper" 1 0 "2016" "egypt"
"Abdallah El-Said" "Midfielder" 5 0 "2016" "egypt"
"Nour El-Sayed" "Defender/Midfielder" 1 1 "2016" "egypt"
"Ahmed Naser El-Shenawy" "Goalkeeper" 4 0 "2016" "egypt"
"Mohamed Elneny" "Midfielder" 6 0 "2016" "egypt"
"Hazem Emam" "Midfielder" 0 1 "2016" "egypt"
"Ahmed Fathi" "Defender/Midfielder" 2 0 "2016" "egypt"
"Mustafa Fathi" "Defender" 1 0 "2016" "egypt"
"Omar Gaber" "Midfielder" 5 0 "2016" "egypt"
"Ali Gabr" "Defender" 1 0 "2016" "egypt"
"Amr Gamal" "Forward" 0 3 "2016" "egypt"
"Hossam Ghaly" "Defender/Midfielder" 2 2 "2016" "egypt"
"Saleh Gomaa" "Midfielder" 0 1 "2016" "egypt"
"Tarek Hamed" "Midfielder" 2 0 "2016" "egypt"
"Ibrahim Hassan" "Midfielder" 1 0 "2016" "egypt"
"Ahmed Hegazy" "Defender" 5 0 "2016" "egypt"
"Mahmoud Kahraba" "Midfielder/Forward" 2 0 "2016" "egypt"
"Kouka" "Forward" 3 1 "2016" "egypt"
"Marwan Mohsan" "Forward" 3 0 "2016" "egypt"
"Basem Morsy" "Forward" 2 0 "2016" "egypt"
"Ramy Rabia" "Midfielder" 4 0 "2016" "egypt"
"Sabry Raheel" "Defender" 3 0 "2016" "egypt"
"Ibrahim  Salah" "Midfielder" 4 0 "2016" "egypt"
"Mohamed Salah" "Midfielder" 4 0 "2016" "egypt"
"Saad Ali Saadeldin Samir" "Defender" 1 1 "2016" "egypt"
"Hussein Sayed" "Defender" 1 0 "2016" "egypt"
"Ramadan Sobhi" "Midfielder" 3 1 "2016" "egypt"
"Walid  Soliman" "Forward" 1 0 "2016" "egypt"
"Hamada Tolba" "Defender" 2 1 "2016" "egypt"
"Trezeguet" "Midfielder" 2 1 "2016" "egypt"
"Amr Warda" "Midfielder" 0 3 "2016" "egypt"
"Moamen Zakaria" "Forward" 1 4 "2016" "egypt"
"Mohamed Abdel Shafy" "Defender" 1 0 "2017" "egypt"
"Essam El-Hadary" "Goalkeeper" 1 0 "2017" "egypt"
"Abdallah El-Said" "Midfielder" 1 0 "2017" "egypt"
"Mohamed Elneny" "Midfielder" 1 0 "2017" "egypt"
"Omar Gaber" "Midfielder" 1 0 "2017" "egypt"
"Ali Gabr" "Defender" 1 0 "2017" "egypt"
"Islam Gamal" "Midfielder" 1 0 "2017" "egypt"
"Tarek Hamed" "Midfielder" 1 0 "2017" "egypt"
"Ahmed Hassan" "Forward" 0 1 "2017" "egypt"
"Basem Morsy" "Forward" 1 0 "2017" "egypt"
"Mohamed Salah" "Midfielder" 1 0 "2017" "egypt"
"Ramadan Sobhi" "Midfielder" 0 1 "2017" "egypt"
"Trezeguet" "Midfielder" 1 0 "2017" "egypt"
"Jaime Alas" "Midfielder" 2 5 "2016" "el-salvador"
"Arturo Alvarez" "Midfielder" 2 1 "2016" "el-salvador"
"Óscar Arroyo" "Goalkeeper" 2 0 "2016" "el-salvador"
"Ivan Barahona" "Midfielder" 1 1 "2016" "el-salvador"
"Juan Barahona" "Defender" 4 2 "2016" "el-salvador"
"Jonathan Barrios" "Defender" 1 0 "2016" "el-salvador"
"Nelson Bonilla" "Forward" 3 1 "2016" "el-salvador"
"Rafael Burgos" "Forward" 2 1 "2016" "el-salvador"
"Tim Cahill" "Midfielder" 1 0 "2016" "el-salvador"
"Derby Carrillo" "Goalkeeper" 2 0 "2016" "el-salvador"
"Ibsen Castro" "Defender" 4 0 "2016" "el-salvador"
"Darwin Ceren" "Midfielder" 4 0 "2016" "el-salvador"
"Óscar Ceren" "Midfielder" 1 0 "2016" "el-salvador"
"Diego Chavarria" "Midfielder" 1 0 "2016" "el-salvador"
"Luis Contreras" "Goalkeeper" 1 1 "2016" "el-salvador"
"Dustin Corea" "Forward" 2 2 "2016" "el-salvador"
"Roberto Dominguez" "Midfielder" 2 1 "2016" "el-salvador"
"Andres Flores Jaco" "Forward" 0 1 "2016" "el-salvador"
"Andres Flores Mejia" "Forward" 5 1 "2016" "el-salvador"
"Moises Xavier Garcia" "Defender" 5 1 "2016" "el-salvador"
"Henry Hernandez" "Goalkeeper" 4 0 "2016" "el-salvador"
"Irvin Herrera" "Forward" 0 1 "2016" "el-salvador"
"Jonathan Jiménez" "Midfielder" 2 1 "2016" "el-salvador"
"Alexander Larin" "Defender" 6 0 "2016" "el-salvador"
"Ivan Mancia" "Defender" 0 1 "2016" "el-salvador"
"Gerson Mayen" "Midfielder" 3 2 "2016" "el-salvador"
"Alexander Mendoza" "Defender" 5 0 "2016" "el-salvador"
"Richard Menjivar" "Midfielder" 4 0 "2016" "el-salvador"
"Milton Molina" "Defender" 1 0 "2016" "el-salvador"
"Jorge Moran Rodas" "Midfielder" 0 1 "2016" "el-salvador"
"Miguel Ochoa Lemus" "Defender" 0 1 "2016" "el-salvador"
"Narciso Orellana" "Midfielder" 2 1 "2016" "el-salvador"
"Jose Ortiz" "Defender" 1 2 "2016" "el-salvador"
"Jose Angel Pena" "Forward" 3 1 "2016" "el-salvador"
"Denis Pineda" "Forward" 4 1 "2016" "el-salvador"
"Juan Carlos Portillo" "Midfielder" 0 1 "2016" "el-salvador"
"Pablo Punyed" "Midfielder" 4 2 "2016" "el-salvador"
"Nestor Renderos" "Midfielder" 2 1 "2016" "el-salvador"
"Henry Romero" "Midfielder" 7 0 "2016" "el-salvador"
"David Rugamas" "Forward" 2 1 "2016" "el-salvador"
"Kevin Sagastizado" "Forward" 1 0 "2016" "el-salvador"
"Yubini Salamanca" "Midfielder" 1 0 "2016" "el-salvador"
"Herbert Sosa" "Midfielder" 1 0 "2016" "el-salvador"
"Giovanni Zavaleta" "Defender" 1 0 "2016" "el-salvador"
"Jaime Alas" "Midfielder" 2 0 "2017" "el-salvador"
"Óscar Arroyo" "Goalkeeper" 2 0 "2017" "el-salvador"
"Juan Barahona" "Defender" 1 0 "2017" "el-salvador"
"Nelson Bonilla" "Forward" 2 0 "2017" "el-salvador"
"Darwin Ceren" "Midfielder" 1 0 "2017" "el-salvador"
"Óscar Ceren" "Midfielder" 2 0 "2017" "el-salvador"
"Roberto Dominguez" "Midfielder" 2 0 "2017" "el-salvador"
"Andres Flores Jaco" "Forward" 0 1 "2017" "el-salvador"
"Andres Flores Mejia" "Forward" 0 1 "2017" "el-salvador"
"Moises Xavier Garcia" "Defender" 1 1 "2017" "el-salvador"
"Alexander Larin" "Defender" 2 0 "2017" "el-salvador"
"Gerson Mayen" "Midfielder" 1 1 "2017" "el-salvador"
"Alexander Mendoza" "Defender" 0 1 "2017" "el-salvador"
"Richard Menjivar" "Midfielder" 1 0 "2017" "el-salvador"
"Denis Pineda" "Forward" 0 1 "2017" "el-salvador"
"Pablo Punyed" "Midfielder" 2 0 "2017" "el-salvador"
"Henry Romero" "Midfielder" 1 0 "2017" "el-salvador"
"Bryan Tamacas" "Defender" 2 0 "2017" "el-salvador"
"Dele Alli" "Midfielder" 7 5 "2016" "england"
"Ross Barkley" "Midfielder" 6 3 "2016" "england"
"Ryan Bertrand" "Defender/Midfielder" 4 1 "2016" "england"
"Jack Butland" "Goalkeeper" 2 1 "2016" "england"
"Gary Cahill" "Defender/Centre back" 10 1 "2016" "england"
"Michael Carrick" "Midfielder" 1 0 "2016" "england"
"Nathaniel Clyne" "Defender" 7 1 "2016" "england"
"Fabian Delph" "Midfielder" 2 1 "2016" "england"
"Eric Dier" "Defender/Midfielder" 8 3 "2016" "england"
"Danny Drinkwater" "Midfielder" 2 1 "2016" "england"
"Fraser Forster" "Goalkeeper" 2 1 "2016" "england"
"Kieran Gibbs" "Defender/Midfielder" 2 0 "2016" "england"
"Joe Hart" "Goalkeeper" 11 0 "2016" "england"
"Tom Heaton" "Goalkeeper" 0 1 "2016" "england"
"Jordan Henderson" "Midfielder" 3 2 "2016" "england"
"Danny Ings" "Forward" 0 1 "2016" "england"
"Phil Jagielka" "Defender/Midfielder" 2 1 "2016" "england"
"Phil Jones" "Defender/Midfielder" 2 1 "2016" "england"
"Harry Kane" "Forward" 10 4 "2016" "england"
"Adam Lallana" "Midfielder/Forward" 9 2 "2016" "england"
"James Milner" "Midfielder" 5 2 "2016" "england"
"Alex Oxlade-Chamberlain" "Midfielder" 3 1 "2016" "england"
"Marcus Rashford" "Forward" 1 2 "2016" "england"
"Wayne Rooney" "Forward" 7 3 "2016" "england"
"Danny Rose" "Defender/Midfielder" 7 0 "2016" "england"
"Luke Shaw" "Defender" 2 0 "2016" "england"
"Jonjo Shelvey" "Midfielder" 3 2 "2016" "england"
"Chris Smalling" "Defender" 11 0 "2016" "england"
"Raheem Sterling" "Midfielder/Forward" 9 1 "2016" "england"
"John Stones" "Defender" 5 1 "2016" "england"
"Daniel Sturridge" "Forward" 3 2 "2016" "england"
"Andros Townsend" "Midfielder" 0 2 "2016" "england"
"Jamie Vardy" "Forward" 6 4 "2016" "england"
"Theo Walcott" "Forward" 1 2 "2016" "england"
"Kyle Walker" "Defender" 8 0 "2016" "england"
"Danny Welbeck" "Forward" 1 0 "2016" "england"
"Jack Wilshere" "Midfielder" 3 3 "2016" "england"
"Dele Alli" "Midfielder" 2 1 "2017" "england"
"Ryan Bertrand" "Defender/Midfielder" 1 0 "2017" "england"
"Gary Cahill" "Defender/Centre back" 3 0 "2017" "england"
"Eric Dier" "Defender/Midfielder" 2 0 "2017" "england"
"Joe Hart" "Goalkeeper" 3 0 "2017" "england"
"Jordan Henderson" "Midfielder" 3 0 "2017" "england"
"Harry Kane" "Forward" 1 0 "2017" "england"
"Adam Lallana" "Midfielder/Forward" 1 0 "2017" "england"
"Jesse Lingard" "Midfielder" 2 0 "2017" "england"
"Marcus Rashford" "Forward" 0 2 "2017" "england"
"Wayne Rooney" "Forward" 2 1 "2017" "england"
"Danny Rose" "Defender/Midfielder" 2 1 "2017" "england"
"Raheem Sterling" "Midfielder/Forward" 1 0 "2017" "england"
"John Stones" "Defender" 3 0 "2017" "england"
"Daniel Sturridge" "Forward" 2 1 "2017" "england"
"Andros Townsend" "Midfielder" 0 1 "2017" "england"
"Jamie Vardy" "Forward" 0 1 "2017" "england"
"Theo Walcott" "Forward" 2 1 "2017" "england"
"Kyle Walker" "Defender" 3 0 "2017" "england"
"Mihkel Aksalu" "Goalkeeper" 8 0 "2016" "estonia"
"Henri Anier" "Forward" 4 1 "2016" "estonia"
"Ilja Antonov" "Midfielder" 5 3 "2016" "estonia"
"Vladimir Avilov" "Defender" 0 1 "2016" "estonia"
"Nikita Baranov" "Defender" 7 1 "2016" "estonia"
"Aleksandr Dmitrijev" "Midfielder" 6 0 "2016" "estonia"
"Andre Frolov" "Midfielder" 0 2 "2016" "estonia"
"Maksim Gussev" "Midfielder" 2 4 "2016" "estonia"
"Enar Jääger" "Defender" 8 0 "2016" "estonia"
"Markus Jurgenson" "Defender" 1 1 "2016" "estonia"
"Mattias  Käit" "Midfielder" 1 0 "2016" "estonia"
"Ken Kallaste" "Defender" 10 1 "2016" "estonia"
"Gert Kams" "Midfielder" 1 2 "2016" "estonia"
"Ragnar Klavan" "Defender" 8 0 "2016" "estonia"
"Jan Kokla" "Midfielder" 1 0 "2016" "estonia"
"Dmitri Kruglov" "Defender" 3 0 "2016" "estonia"
"Frank Liivak" "Midfielder" 0 2 "2016" "estonia"
"Joel Lindpere" "Midfielder" 3 4 "2016" "estonia"
"Pavel Londak" "Goalkeeper" 3 0 "2016" "estonia"
"Siim Luts" "Midfielder" 0 4 "2016" "estonia"
"Paval Marin" "Midfielder" 1 2 "2016" "estonia"
"Karol Mets" "Defender" 12 0 "2016" "estonia"
"Henrik Ojamaa" "Forward" 0 1 "2016" "estonia"
"Sergei Pareiko" "Goalkeeper" 0 1 "2016" "estonia"
"Artur Pikk" "Defender" 10 0 "2016" "estonia"
"Albert Prosa" "Forward" 0 1 "2016" "estonia"
"Sander Puri" "Midfielder" 4 8 "2016" "estonia"
"Ats Purje" "Forward" 5 1 "2016" "estonia"
"Andreas Raudsepp" "Midfielder" 3 1 "2016" "estonia"
"Rauno Sappinen" "Midfielder" 1 6 "2016" "estonia"
"Igor Subbotin" "Midfielder" 1 0 "2016" "estonia"
"Ingemar Teever" "Forward" 0 1 "2016" "estonia"
"Taijo Teniste" "Midfielder" 9 0 "2016" "estonia"
"Andreas Vaikla" "Goalkeeper" 1 0 "2016" "estonia"
"Konstantin Vassiljev" "Midfielder" 8 1 "2016" "estonia"
"Sergei Zenjov" "Forward" 6 0 "2016" "estonia"
"Mihkel Aksalu" "Goalkeeper" 4 0 "2017" "estonia"
"Hannes Anier" "Forward" 0 1 "2017" "estonia"
"Henri Anier" "Forward" 1 0 "2017" "estonia"
"Ilja Antonov" "Midfielder" 1 1 "2017" "estonia"
"Nikita Baranov" "Defender" 4 0 "2017" "estonia"
"Aleksandr Dmitrijev" "Midfielder" 2 0 "2017" "estonia"
"Maksim Gussev" "Midfielder" 0 1 "2017" "estonia"
"Mattias  Käit" "Midfielder" 1 0 "2017" "estonia"
"Ken Kallaste" "Defender" 3 0 "2017" "estonia"
"Gert Kams" "Midfielder" 2 1 "2017" "estonia"
"Ragnar Klavan" "Defender" 3 0 "2017" "estonia"
"Dmitri Kruglov" "Defender" 1 2 "2017" "estonia"
"Brent Lepistu" "Midfielder" 0 1 "2017" "estonia"
"Siim Luts" "Midfielder" 2 0 "2017" "estonia"
"Paval Marin" "Midfielder" 1 0 "2017" "estonia"
"Karol Mets" "Defender" 4 0 "2017" "estonia"
"Sergei Mosnikov" "Midfielder" 0 2 "2017" "estonia"
"Henrik Ojamaa" "Forward" 0 1 "2017" "estonia"
"Artur Pikk" "Defender" 2 0 "2017" "estonia"
"Ats Purje" "Forward" 1 1 "2017" "estonia"
"Rauno Sappinen" "Midfielder" 0 2 "2017" "estonia"
"Taijo Teniste" "Midfielder" 4 0 "2017" "estonia"
"Konstantin Vassiljev" "Midfielder" 4 0 "2017" "estonia"
"Sergei Zenjov" "Forward" 4 0 "2017" "estonia"
"Paulus Arajuuri" "Defender" 8 0 "2016" "finland"
"Kari Arkivuo" "Defender/Midfielder" 7 0 "2016" "finland"
"Roman Eremenko" "Midfielder" 4 0 "2016" "finland"
"Markus Halsti" "Defender" 5 0 "2016" "finland"
"Kasper Hamalainen" "Midfielder" 3 4 "2016" "finland"
"Perparim Hetemaj" "Midfielder" 7 0 "2016" "finland"
"Lucas Hradecky" "Goalkeeper" 7 0 "2016" "finland"
"Ville Jalasto" "Defender" 2 1 "2016" "finland"
"Jesse Joronen" "Goalkeeper" 0 1 "2016" "finland"
"Joni Kauko" "Midfielder" 0 1 "2016" "finland"
"Thomas Lam" "Defender" 1 3 "2016" "finland"
"Robin Lod" "Midfielder" 1 3 "2016" "finland"
"Niki Maenpaa" "Goalkeeper" 1 0 "2016" "finland"
"Sakari Mattila" "Defender/Midfielder" 1 2 "2016" "finland"
"Niklas Moisander" "Defender/Midfielder" 2 0 "2016" "finland"
"Valtteri Moren" "Defender" 1 0 "2016" "finland"
"Juhani Ojala" "Defender" 1 0 "2016" "finland"
"Joel Pohjanpalo" "Forward" 5 2 "2016" "finland"
"Teemu Pukki" "Forward" 4 2 "2016" "finland"
"Jukka Raitala" "Defender" 1 2 "2016" "finland"
"Alexander Ring" "Midfielder" 7 0 "2016" "finland"
"Riku Riski" "Midfielder" 1 0 "2016" "finland"
"Berat Sadik" "Forward" 1 1 "2016" "finland"
"Janne Saksela" "Midfielder" 0 2 "2016" "finland"
"Rasmus Schuller" "Midfielder" 2 2 "2016" "finland"
"Tim Sparv" "Midfielder" 7 0 "2016" "finland"
"Joona Toivio" "Defender" 5 1 "2016" "finland"
"Jere Uronen" "Defender" 6 1 "2016" "finland"
"Tim Vayrynen" "Forward" 0 2 "2016" "finland"
"Paulus Arajuuri" "Defender" 4 0 "2017" "finland"
"Kari Arkivuo" "Defender/Midfielder" 2 0 "2017" "finland"
"Roman Eremenko" "Midfielder" 1 0 "2017" "finland"
"Markus Halsti" "Defender" 3 0 "2017" "finland"
"Kasper Hamalainen" "Midfielder" 2 1 "2017" "finland"
"Perparim Hetemaj" "Midfielder" 1 0 "2017" "finland"
"Lucas Hradecky" "Goalkeeper" 4 0 "2017" "finland"
"Thomas Lam" "Defender" 2 1 "2017" "finland"
"Robin Lod" "Midfielder" 4 0 "2017" "finland"
"Eero Markkanen" "Forward" 0 2 "2017" "finland"
"Sakari Mattila" "Defender/Midfielder" 0 1 "2017" "finland"
"Niklas Moisander" "Defender/Midfielder" 8 0 "2017" "finland"
"Juhani Ojala" "Defender" 1 1 "2017" "finland"
"Joel Pohjanpalo" "Forward" 2 0 "2017" "finland"
"Teemu Pukki" "Forward" 3 1 "2017" "finland"
"Jukka Raitala" "Defender" 3 0 "2017" "finland"
"Alexander Ring" "Midfielder" 3 1 "2017" "finland"
"Roope Riski" "Forward" 0 1 "2017" "finland"
"Janne Saksela" "Midfielder" 1 1 "2017" "finland"
"Rasmus Schuller" "Midfielder" 0 4 "2017" "finland"
"Jere Uronen" "Defender" 2 0 "2017" "finland"
"Sauli Vaisanen" "Defender" 2 0 "2017" "finland"
"Hatem Ben Arfa" "Midfielder" 1 1 "2016" "france"
"Karim Benzema" "Forward" 2 1 "2016" "france"
"Yohan Cabaye" "Midfielder" 4 4 "2016" "france"
"Kingsley Coman" "Midfielder/Forward" 4 6 "2016" "france"
"Mathieu Debuchy" "Defender/Midfielder" 0 1 "2016" "france"
"Lassana Diarra" "Midfielder" 5 1 "2016" "france"
"Lucas Digne" "Defender" 2 3 "2016" "france"
"Patrice Evra" "Defender/Left back" 12 0 "2016" "france"
"Nabil Fekir" "Midfielder" 1 0 "2016" "france"
"Andre-Pierre Gignac" "Midfielder" 3 7 "2016" "france"
"Olivier Giroud" "Forward" 10 4 "2016" "france"
