teamA,teamB,matchDate,matchVenue
Iraq,Saudi Arabia,06 September 2016,"Shah Alam Stadium, Shah Alam"
United Arab Emirates,Australia,06 September 2016,"Mohammad Bin Zayed Stadium, Abu Dhabi"
Venezuela,Argentina,06 September 2016,MERIDA VENEZUELA
Sweden,Netherlands,06 September 2016,Friends Arena
Peru,Ecuador,06 September 2016,Estadio Nacional de Lima
Uruguay,Paraguay,06 September 2016,"Estadio Centenario, Montevideo"
Bosnia and Herzegovina,Estonia,06 September 2016,"Bilino Polje, Zenica"
Brazil,Colombia,06 September 2016,Arena da Amazonia
Japan,Iraq,06 October 2016,Saitama Stadium
Iceland,Finland,06 October 2016,"Laugardalsvollur, Reykjavik"
Turkey,Ukraine,06 October 2016,"Konya Buyuksehir Torku Arena, Konya"
Saudi Arabia,Australia,06 October 2016,King Abdullah Sports City Stadium
Italy,Spain,06 October 2016,"Juventus Stadium, Turin"
Austria,Wales,06 October 2016,"Ernst Happel Stadion, Wien"
Uzbekistan,Iran,06 October 2016,"Bunyodkor Stadium, Tashkent"
Italy,Finland,06 June 2016,"Marc'Antonio Bentegodi, Verona"
Panama,Bolivia,06 June 2016,"Citrus Bowl, Orlando"
Portugal,Wales,06 July 2016,"Stade des Lumieres, Lyon"
Estonia,Sweden,06 January 2016,"Armed Forces Sport Club Stadium, Abu Dhabi"
Israel,Italy,05 September 2016,"Sammy Ofer Stadium, Haifa"
Ukraine,Iceland,05 September 2016,"Olimpiyskyi Kyiv, Kyiv"
Serbia,Republic of Ireland,05 September 2016,Crvena Zvezda Stadium
Mexico,Uruguay,05 June 2016,"University of Phoenix Stadium, Glendale"
Jamaica,Venezuela,05 June 2016,"Soldier Field, Chicago"
Sweden,Wales,05 June 2016,Friends Arena
USA,Canada,05 February 2016,StubHub Center
Denmark,Armenia,04 September 2016,"Telia Parken, Copenhagen"
Slovakia,England,04 September 2016,"Antona Malatinskeho, Trnava"
Germany,Hungary,04 June 2016,"Veltins-Arena, Gelsenkirchen"
France,Scotland,04 June 2016,"Saint Symphorien, Metz"
Brazil,Ecuador,04 June 2016,"Rose Bowl, Los Angeles"
Austria,Netherlands,04 June 2016,"Ernst Happel Stadion, Wien"
Costa Rica,Paraguay,04 June 2016,"Citrus Bowl, Orlando"
Haiti,Peru,04 June 2016,"CenturyLink Field, Seattle"
Australia,Greece,04 June 2016,ANZ Stadium
Slovakia,Northern Ireland,04 June 2016,"Antona Malatinskeho, Trnava"
Haiti,Costa Rica,03 September 2016,"Stade Sylvio Cator, Port-au-Prince"
Trinidad and Tobago,Guatemala,03 September 2016,"Hasely Crawford Stadium, Port of Spain"
Panama,Jamaica,03 September 2016,"Estadio Rommel Fernandez, Panama City"
El Salvador,Mexico,03 September 2016,"Estadio Cuscatlán, San Salvador"
Japan,Bulgaria,03 June 2016,Toyota Stadium - Toyota
Bosnia and Herzegovina,Denmark,03 June 2016,Toyota Stadium - Toyota
USA,Colombia,03 June 2016,Levi's Stadium
France,Iceland,03 July 2016,Stade De France
Honduras,Canada,02 September 2016,"Estadio Olimpico Metropolitano, San Pedro Sula"
Argentina,Uruguay,02 September 2016,Estadio Malvinas MENDOZA
England,Portugal,02 June 2016,Wembley Stadium
Germany,Italy,02 July 2016,"Stade Matmut Atlantique, Bordeaux"
Venezuela,Costa Rica,02 February 2016,Agustin Tovar
Italy,France,01 September 2016,Stadio Comunale
Japan,United Arab Emirates,01 September 2016,Saitama Stadium SAITAMA
Netherlands,Greece,01 September 2016,"Philips Stadium, Eindhoven"
Australia,Iraq,01 September 2016,Perth
Colombia,Venezuela,01 September 2016,"Metropolitano Roberto Melendez, Barranquilla"
Belgium,Spain,01 September 2016,"King Baudouin Stadium, Brussels"
Ecuador,Brazil,01 September 2016,"Estadio Olimpico Atahualpa, Quito"
Bolivia,Peru,01 September 2016,"Estadio Hernando Siles, La Paz"
Spain,Korea Republic,01 June 2016,"Red Bull Arena, Salzburg"
Guatemala,Venezuela,01 June 2016,Lockhart Stadium
Belgium,Finland,01 June 2016,"King Baudouin Stadium, Brussels"
Wales,Belgium,01 July 2016,"Stade Pierre-Mauroy, Lille"
Honduras,El Salvador,31 May 2015,"RFK Stadium, Washington DC"
Israel,Belgium,31 March 2015,"Teddy Stadium, Jerusalem"
El Salvador,Guatemala,31 March 2015,StubHub Center
Argentina,Ecuador,31 March 2015,MetLife Stadium
Switzerland,USA,31 March 2015,"Letzigrund, Zurich"
Italy,England,31 March 2015,"Juventus Stadium, Turin"
Sweden,Iran,31 March 2015,Friends Arena
Panama,Costa Rica,31 March 2015,"Estadio Rommel Fernandez, Panama City"
Austria,Bosnia and Herzegovina,31 March 2015,"Ernst Happel Stadion, Wien"
Mexico,Paraguay,31 March 2015,"Arrowhead, Kansas City"
Netherlands,Spain,31 March 2015,"Amsterdam ArenA, Amsterdam"
Japan,Uzbekistan,31 March 2015,"Ajinomoto Stadium, Tokyo"
Estonia,Iceland,31 March 2015,"A. Le Coq Arena, Tallinn"
Korea Republic,Australia,31 January 2015,ANZ Stadium
Mexico,Guatemala,30 May 2015,Estadio Zoque VMR
Jamaica,Cuba,30 March 2015,"Catherine Hall, Montego Bay"
Argentina,Paraguay,30 June 2015,Estadio Municipal de Concepcion
Northern Ireland,Finland,29 March 2015,Windsor Park
Hungary,Greece,29 March 2015,"Groupama Arena, Budapest"
Portugal,Serbia,29 March 2015,"Estadio da Luz, Lisbon"
Bulgaria,Italy,28 March 2015,"Vasil Levski, Sofia"
Israel,Wales,28 March 2015,"Sammy Ofer Stadium, Haifa"
Mexico,Ecuador,28 March 2015,Los Angeles Memorial Coliseum
El Salvador,Argentina,28 March 2015,FedExField
Netherlands,Turkey,28 March 2015,"Amsterdam ArenA, Amsterdam"
Cameroon,Ivory Coast,28 January 2015,Malabo
England,Lithuania,27 March 2015,Wembley Stadium
Switzerland,Estonia,27 March 2015,"Swissporarena, Luzern"
Canada,Guatemala,27 March 2015,Lockhart Stadium
China PR,Haiti,27 March 2015,"Helong Stadium, Changsha"
Trinidad and Tobago,Panama,27 March 2015,"Hasely Crawford Stadium, Port of Spain"
Spain,Ukraine,27 March 2015,"Estadio Sanchez Pizjuan, Sevilla"
Korea Republic,Uzbekistan,27 March 2015,Daejeon World Cup Stadium
Jamaica,Venezuela,27 March 2015,"Catherine Hall, Montego Bay"
Brazil,Paraguay,27 June 2015,Estadio Municipal de Concepcion
Mexico,Costa Rica,27 June 2015,"Citrus Bowl, Orlando"
South Africa,Ghana,27 January 2015,Mongomo
France,Brazil,26 March 2015,Stade De France
Costa Rica,Paraguay,26 March 2015,Estadio Nacional de Costa Rica
Argentina,Colombia,26 June 2015,"Sausalito, Vina Del Mar"
Jamaica,Mexico,26 July 2015,Lincoln Financial Field
Korea Republic,Iraq,26 January 2015,ANZ Stadium
Denmark,USA,25 March 2015,NRGi Park
Scotland,Northern Ireland,25 March 2015,"Hampden Park, Glasgow"
Bolivia,Peru,25 June 2015,"Estadio Municipal German Becker, Temuco"
USA,Panama,25 July 2015,"PPL Park, Chester, USA"
Ghana,Algeria,23 January 2015,Mongomo
Iran,Iraq,23 January 2015,Canberra Stadium
Japan,United Arab Emirates,23 January 2015,ANZ Stadium
USA,Jamaica,22 July 2015,Georgia Dome
Panama,Mexico,22 July 2015,Georgia Dome
Zambia,Tunisia,22 January 2015,Ebebiyin
Colombia,Peru,21 June 2015,"Estadio Municipal German Becker, Temuco"
Brazil,Venezuela,21 June 2015,Estadio Monumental David Arellano
Argentina,Jamaica,20 June 2015,"Sausalito, Vina Del Mar"
Uruguay,Paraguay,20 June 2015,Estadio La Portada
Iraq,Palestine,20 January 2015,Canberra Stadium
Mexico,Ecuador,19 June 2015,El Teniente
Mexico,Costa Rica,19 July 2015,MetLife Stadium
Trinidad and Tobago,Panama,19 July 2015,MetLife Stadium
Canada,Iceland,19 January 2015,UCF Soccer and Track Complex
Algeria,South Africa,19 January 2015,Mongomo
Iran,United Arab Emirates,19 January 2015,"Lang Park, Brisbane"
Peru,Venezuela,18 June 2015,Playa Ancha VALPARAISO
USA,Cuba,18 July 2015,M&T Bank Stadium
Haiti,Jamaica,18 July 2015,M&T Bank Stadium
Uzbekistan,Saudi Arabia,18 January 2015,Melbourne Rectangular Stadium
England,France,17 November 2015,Wembley Stadium
Denmark,Sweden,17 November 2015,"Telia Parken, Copenhagen"
Slovakia,Iceland,17 November 2015,"Stadion pod Dubnom, Zilina"
Italy,Romania,17 November 2015,"Stadio Renato Dall'Ara, Bologna"
Haiti,Jamaica,17 November 2015,"Stade Sylvio Cator, Port-au-Prince"
Colombia,Argentina,17 November 2015,"Metropolitano Roberto Melendez, Barranquilla"
Korea DPR,Bahrain,17 November 2015,"Kim Il Sung, Pyongyang"
Trinidad and Tobago,USA,17 November 2015,"Hasely Crawford Stadium, Port of Spain"
Panama,Costa Rica,17 November 2015,"Estadio Rommel Fernandez, Panama City"
Honduras,Mexico,17 November 2015,"Estadio Olimpico, San Pedro Sula"
El Salvador,Canada,17 November 2015,"Estadio Cuscatlán, San Salvador"
Austria,Switzerland,17 November 2015,"Ernst Happel Stadion, Wien"
Paraguay,Bolivia,17 November 2015,"Defensores del Chaco, Asuncion"
Venezuela,Ecuador,17 November 2015,"Cachamay, Puerto Ordaz"
Turkey,Greece,17 November 2015,"Basaksehir Fatih Terim, Istanbul"
Brazil,Peru,17 November 2015,Arena Fonte Nova
Brazil,Colombia,17 June 2015,Estadio Monumental David Arellano
Australia,Korea Republic,17 January 2015,"Lang Park, Brisbane"
Korea DPR,Uzbekistan,16 June 2015,PYONGYANG
Paraguay,Jamaica,16 June 2015,Estadio Regional ANTOFAGASTA
Argentina,Uruguay,16 June 2015,Estadio La Portada
Canada,Iceland,16 January 2015,UCF Soccer and Track Complex
Iraq,Japan,16 January 2015,"Lang Park, Brisbane"
Ecuador,Bolivia,15 June 2015,Playa Ancha VALPARAISO
Cuba,Guatemala,15 July 2015,"Bank of America Stadium, Charlotte"
Mexico,Trinidad and Tobago,15 July 2015,"Bank of America Stadium, Charlotte"
Sweden,Ivory Coast,15 January 2015,"Mohammad Bin Zayed Stadium, Abu Dhabi"
Bahrain,United Arab Emirates,15 January 2015,Canberra Stadium
USA,Mexico,15 April 2015,Alamadome Stadium
Sweden,Denmark,14 November 2015,Friends Arena
Lithuania,Switzerland,14 June 2015,LFF Stadium Vilnius
Brazil,Peru,14 June 2015,"Estadio Municipal German Becker, Temuco"
Colombia,Venezuela,14 June 2015,El Teniente
Canada,Costa Rica,14 July 2015,"BMO Field, Toronto"
Jamaica,El Salvador,14 July 2015,"BMO Field, Toronto"
China PR,Uzbekistan,14 January 2015,"Lang Park, Brisbane"
Canada,Ghana,13 October 2015,"RFK Stadium, Washington DC"
USA,Costa Rica,13 October 2015,"Red Bull Arena, New Jersey"
Guatemala,El Salvador,13 October 2015,Los Angeles Memorial Coliseum
Belgium,Israel,13 October 2015,"King Baudouin Stadium, Brussels"
Honduras,South Africa,13 October 2015,"Estadio Olimpico, San Pedro Sula"
Ecuador,Bolivia,13 October 2015,"Estadio Olimpico Atahualpa, Quito"
Uruguay,Colombia,13 October 2015,"Estadio Centenario, Montevideo"
Brazil,Venezuela,13 October 2015,"Estadio Castelao, Fortaleza"
Paraguay,Argentina,13 October 2015,"Defensores del Chaco, Asuncion"
Mexico,Panama,13 October 2015,"Bombonera, Estadio Nemesio Diez, Toluca"
Iran,Japan,13 October 2015,"Azadi Stadium, Tehran"
Turkey,Iceland,13 October 2015,Ataturk Stadium
France,Germany,13 November 2015,Stade De France
Belgium,Italy,13 November 2015,"King Baudouin Stadium, Brussels"
Spain,England,13 November 2015,"Jose Rico Perez, Alicante"
Jamaica,Panama,13 November 2015,"Independence Park, Kingston"
Guatemala,Trinidad and Tobago,13 November 2015,Estadio Nacional Mateo Flores
Peru,Paraguay,13 November 2015,"Estadio Nacional Jose Diaz, Lima"
Costa Rica,Haiti,13 November 2015,Estadio Nacional de Costa Rica
Argentina,Brazil,13 November 2015,"Estadio Monumental Antonio Vespucio Liberti, Buenos Aires"
Wales,Netherlands,13 November 2015,Cardiff City Stadium
Canada,Honduras,13 November 2015,"BC Place Stadium, Vancouver"
Mexico,El Salvador,13 November 2015,"Azteca Stadium, Mexico City"
Slovakia,Switzerland,13 November 2015,"Antona Malatinskeho, Trnava"
Northern Ireland,Romania,13 June 2015,Windsor Park
Armenia,Portugal,13 June 2015,"Vazgen Sargsyan, Yerevan"
Denmark,Serbia,13 June 2015,"Telia Parken, Copenhagen"
Finland,Hungary,13 June 2015,Olympic Stadium
Uruguay,Jamaica,13 June 2015,Estadio Regional ANTOFAGASTA
Argentina,Paraguay,13 June 2015,Estadio La Portada
Republic of Ireland,Scotland,13 June 2015,Aviva Stadium
Haiti,Honduras,13 July 2015,"Sporting Park, Kansas City"
Panama,USA,13 July 2015,"Sporting Park, Kansas City"
Oman,Australia,13 January 2015,Stadium Australia
Ukraine,Spain,12 October 2015,"Olimpiyskiy NSC, Kiev"
Estonia,Switzerland,12 October 2015,"Lillekula Stadium, Tallinn"
Lithuania,England,12 October 2015,LFF Stadium Vilnius
Uzbekistan,Korea DPR,12 November 2015,"Pakhtakor Stadium, Tashkent"
Ecuador,Uruguay,12 November 2015,"Estadio Olimpico Atahualpa, Quito"
Bolivia,Venezuela,12 November 2015,"Estadio Hernando Siles, La Paz"
Mexico,Bolivia,12 June 2015,"Sausalito, Vina Del Mar"
Wales,Belgium,12 June 2015,Cardiff City Stadium
Bosnia and Herzegovina,Israel,12 June 2015,"Bilino Polje, Zenica"
Trinidad and Tobago,Cuba,12 July 2015,"University of Phoenix Stadium, Glendale"
Guatemala,Mexico,12 July 2015,"University of Phoenix Stadium, Glendale"
Japan,Palestine,12 January 2015,"Newcastle, Australia"
Denmark,France,11 October 2015,"Telia Parken, Copenhagen"
Serbia,Portugal,11 October 2015,"Stadion Partizan, Belgrade"
Finland,Northern Ireland,11 October 2015,Olympic Stadium
Greece,Hungary,11 October 2015,"Georgios Karaiskakis Stadium, Athens"
Japan,Iraq,11 June 2015,"International Stadium, Yokohama"
Spain,Costa Rica,11 June 2015,Estadio Municipal Reino de Leon
Jamaica,Canada,11 July 2015,"BBVA Compass Stadium, Houston"
Iran,Bahrain,11 January 2015,Melbourne Rectangular Stadium
USA,Mexico,10 October 2015,"Rose Bowl, Los Angeles"
Bosnia and Herzegovina,Wales,10 October 2015,"Bilino Polje, Zenica"
Germany,USA,10 June 2015,"RheinEnergie Stadion, Cologne"
Brazil,Honduras,10 June 2015,Estadio Beira-Rio
USA,Haiti,10 July 2015,"Gillette Stadium, Foxborough"
Honduras,Panama,10 July 2015,"Gillette Stadium, Foxborough"
Uzbekistan,Korea DPR,10 January 2015,Stadium Australia
Cameroon,South Africa,10 January 2015,Stade d'Angondjé
Korea Republic,Oman,10 January 2015,Canberra Stadium
England,Estonia,09 October 2015,Wembley Stadium
Palestine,Saudi Arabia,09 November 2015,Amman
Mexico,Cuba,09 July 2015,"Soldier Field, Chicago"
Trinidad and Tobago,Guatemala,09 July 2015,"Soldier Field, Chicago"
China PR,Japan,09 August 2015,WUHAN
England,Switzerland,08 September 2015,Wembley Stadium
Slovakia,Ukraine,08 September 2015,"Stadion pod Dubnom, Zilina"
Colombia,Peru,08 September 2015,"Red Bull Arena, New Jersey"
Ecuador,Honduras,08 September 2015,Olimpico Atahualpa
USA,Brazil,08 September 2015,"Gillette Stadium, Foxborough"
Sweden,Austria,08 September 2015,Friends Arena
Costa Rica,Uruguay,08 September 2015,Estadio Nacional de Costa Rica
Venezuela,Panama,08 September 2015,Centro Total de Entretenimiento
Northern Ireland,Greece,08 October 2015,Windsor Park
Oman,Iran,08 October 2015,Sultan Qaboos Sports Complex
Colombia,Peru,08 October 2015,"Metropolitano Roberto Melendez, Barranquilla"
Panama,Trinidad and Tobago,08 October 2015,"Estadio Rommel Fernandez, Panama City"
Honduras,Guatemala,08 October 2015,"Estadio Nacional, Tegucigalpa"
Argentina,Ecuador,08 October 2015,"Estadio Monumental Antonio Vespuci, Buenos Aires"
Bolivia,Uruguay,08 October 2015,"Estadio Hernando Siles, La Paz"
Venezuela,Paraguay,08 October 2015,"Cachamay, Puerto Ordaz"
Bahrain,Uzbekistan,08 October 2015,"Bahrain National Stadium, East Riffa"
Portugal,Denmark,08 October 2015,AXA Stadium
Republic of Ireland,Germany,08 October 2015,Aviva Stadium
Romania,Finland,08 October 2015,"Arena Nationala, Bucurest"
France,Armenia,08 October 2015,"Allianz Riviera, Nice"
Turkey,Bulgaria,08 June 2015,"Recep Tayyip Erdogan, Istanbul"
El Salvador,Canada,08 July 2015,StubHub Center
Costa Rica,Jamaica,08 July 2015,StubHub Center
Ivory Coast,Ghana,08 February 2015,"Estadio de Bata, Bata"
USA,Panama,08 February 2015,"Carson Stadium, Carson City"
Northern Ireland,Hungary,07 September 2015,Windsor Park
Armenia,Denmark,07 September 2015,"Vazgen Sargsyan, Yerevan"
France,Serbia,07 September 2015,"Nouveau Stade, Bordeaux"
Scotland,Germany,07 September 2015,"Hampden Park, Glasgow"
Romania,Greece,07 September 2015,"Arena Nationala, Bucurest"
France,Belgium,07 June 2015,Stade De France
Republic of Ireland,England,07 June 2015,Aviva Stadium
Brazil,Mexico,07 June 2015,"Allianz Parque, Sao Paulo"
Panama,Haiti,07 July 2015,"Toyota Stadium, Frisco"
USA,Honduras,07 July 2015,"Toyota Stadium, Frisco"
Italy,Bulgaria,06 September 2015,Renzo Barbera Stadium PALERMO
Turkey,Netherlands,06 September 2015,KONYA
Wales,Israel,06 September 2015,Cardiff City Stadium
Ecuador,Panama,06 June 2015,Estadio Reales Tamarindos PORTOVIEJ
Colombia,Costa Rica,06 June 2015,Estadio Pedro Bidegain
