id,name
275,Joseph Krische
276,Da Silva Daniel
277,Terence H Robinson
278,Fuad Al Mahalal
279,Motti Kakkon
280,Belford C Parraga
281,Nenad Sakic
282,John Souza
283,Angel Manuel Silva
284,Istvan SzalaIi II
285,Hugo Marcelo Ovelar
286,Chadour
287,Central Defender
288,Tarek Soliman Gamal
289,Carlos Arredondo
290,LIM Zoong-Sun
291,Camilo Zuniga
292,Zdanek Nehoda
293,Josef Tandler
294,A Rahman
295,Shaker Asad
296,Uli Hoeness
297,Anders Backman
298,Mark Schwarzer
299,Geza Gallos
300,Cesar Gilberto Alegria Briones
301,Mick Martin
302,Knut Sandegren
303,Pieter Boelmans Ter Spill
304,Eugen Baciu
305,Julio Baptista
306,Alf Olsen
307,Francisco Pizarro
308,Rubin Okotie
309,Fernando Consul
310,E Funes
311,Joonas Kolkka
312,Philippe Gondet
313,Jorge Luis Rodriguez
314,Joe Emerson Bizera
315,James Grimes
316,Paul Okon
317,Kaj Christiansen
318,Taloashi Onishi
319,Dave Clements
320,Yeorgios Simos (Magiras)
321,NG Nam Chuen
322,Theodor Brinek II
323,Robbie Findley
324,Abbas K Al Hayki Sami
325,Mozart
326,L Reyes
327,Ed McLaine
328,Hector Eduardo Moran
329,Jurgen Bradler
330,KIM Bying-Ji
331,Antonio Paula
332,SUNG Nak-Woon
333,Meyer Tobias
334,Moreno Mannini
335,Andile Jali
336,SON Myung-Sub
337,Fernand Goossens
338,Renato Tapia
339,Luis Ernesto Perez
340,FATIH Terim
341,Karl Ready
342,Maurico Funes Barrientos
343,Leonal Hernandez
344,Lembit Rajala
345,Lee Doherty
346,Pat Stanton
347,Roy Carrollfor
348,Yuichi Komano
349,Michel Vanderbauwhede
350,Marcel Kauffmann
351,Robert McMillan
352,Jack Hatchard
353,Marcos Rivas
354,Jack Hill
355,Mordechai Ben David
356,OH Beom-Seok
357,Yassin Hamza
358,Ulrich Stein
359,Atilio Minol
360,Maybin Mugaiwa
361,Jorge Inocencio Alcaraz
362,Luiz da Silva
363,Octavian Ionescu
364,Ishak Dogan
365,ZEKI Onatli
366,Carlos Cardoso
367,MARCOS
368,Lyndon Diaz
369,Jose Claramunt
370,Agapito Rodriguez
371,KANG Kuk-Chol
372,Giorgos Georgiadis
373,Steve Jenkins
374,Joseph-Desire Jobfor
375,Per Henriksen
376,Roland Tuske
377,George Chapla
378,Ricardo Oliveira
379,CLAUDIO Barragan
380,Donatas Kazlauskas
381,Bassam Hameed
382,Henry P Bell
383,Makoto Tanaka
384,Arthur Moses
385,Lucas Neill
386,Amara
387,Zarincheh Javad
388,Vincent Kom
389,Amaro
390,Alexandru Custov
391,Houssaine Belahsen
392,Hamdan Naser Masoud
393,Ferenc Nagy
394,Janhuber
395,Kenneth Finn
396,Bjorn Sigurdarson
397,Robert Leckie
398,PARK Ju-Sung
399,Mario Corso
400,Zoubier Beya
401,Romualdas Marcinkus
402,Willy Schmieger
403,Phil Traynor
404,Jean-Pierre Dogliani
405,Arnar Gretarssonfor
406,WAN Chi-keung
407,Eisam Bahigh
408,Svend Aage Remtoft
409,Oscar Jimenez
410,Andre Bikey
411,Charlie Dowdall
412,Mohamed Fikry El-sagheer
413,Sead Kolasinac
414,Thomas Frandsen
415,Janne Saksela
416,Karim Zaza
417,Oswaldo F Canobbiofor
418,Mohammed Abdul Al Jawad
419,Jonas Varsukas
420,Jackie Mooney
421,Oleksandr Gladkiy
422,Dinca Schileru
423,Jose Ma Muniz
424,Viktor Sieger
425,Marvin Alvarez Gonzalez
426,Tom Thompson
427,Josef Krojer
428,Sampeur Maxo
429,Andrianik Eskandarian
430,Julio Adolfo Cozzi
431,Herbert Lundgren
432,Henry Carlsson
433,Norberto Martinez
434,Dror Bar Nur
435,Joseba Etxeberriafor
436,Moulay Idriss Khanoussi
437,Eamonn Bannon
438,Joao Plata Cotera
439,MUJDAT Yetkiner
440,Willie Morgan
441,Bela KovacsI
442,Neil Lennon
443,Peter Arntz
444,Paul Gehlhaar
445,Ion Circiumarescu
446,Irmantas Stumbrys
447,Marrko Myyry
448,Gilbert Storey
449,Francois Brisson
450,Louis Gobet
451,Max Moller
452,Mikael Silvestre
453,Victor Nunez Rodriguez
454,Amor El Jebali
455,Alan Stephenson
456,Kaj Jorgensen
457,Dale Saunders
458,Jan Studnicka
