id,home_team_id,away_team_id,location_id,match_type,competition,winning_team_id,home_team_score,away_team_score,match_date
9362,57,68,188,,FIFA World Cup,68,1,2,1938-05-01
9363,68,57,2195,,International Friendly,68,1,0,1938-11-06
9364,57,68,1173,,International Friendly,57,3,0,1942-01-01
9365,68,57,771,,International Friendly,68,1,0,1945-05-21
9366,57,68,916,,International Friendly,,2,2,1947-01-05
9367,68,57,1662,,International Friendly,68,4,3,1959-05-16
9368,68,57,1759,,FIFA World Cup,,1,1,1969-11-02
9369,68,57,1759,,International Friendly,68,3,0,1974-11-13
9370,57,68,148,,International Friendly,57,1,0,1977-03-30
9371,57,71,916,,FIFA World Cup,57,5,1,1965-01-24
9372,71,57,355,,FIFA World Cup,57,0,1,1965-04-19
9373,74,57,2154,,Independence,,1,1,1972-07-02
9374,57,75,1331,,International Friendly,,1,1,1980-10-07
9375,57,75,954,,International Friendly,57,1,0,1990-12-20
9376,57,60,1240,,FIFA World Cup,57,2,1,1966-07-28
9377,57,60,1140,,Independence,57,1,0,1972-07-06
9378,57,60,1002,,UEFA European Championship,57,1,0,1983-11-13
9379,57,78,286,,International Friendly,57,3,0,2000-06-02
9380,57,78,704,,UEFA European Championship,57,2,0,2016-07-06
9381,57,79,1002,,International Friendly,57,3,2,1932-05-03
9382,57,79,916,,UEFA European Championship,57,2,1,1960-05-08
9383,2,59,94,,International Friendly,2,2,1,1974-04-22
9384,2,59,1961,,International Friendly,2,2,0,1978-04-06
9385,59,5,2213,,International Friendly,,1,1,1972-09-03
9386,10,59,1307,,FIFA World Cup,10,3,2,1970-06-10
9387,10,59,2144,,International Friendly,10,2,0,1974-04-17
9388,10,59,95,,OT v A,10,3,0,1984-01-25
9389,59,11,368,,*,,1,1,1971-10-27
9390,11,59,41,,Under-21,11,2,0,1973-09-05
9391,11,59,131,,International Friendly,,0,0,1974-09-25
9392,11,59,2434,,Balkan Cup,11,1,0,1976-05-12
9393,59,11,368,,Balkan Cup,59,3,2,1976-11-29
9394,59,11,368,,Balkan Cup,59,2,0,1978-05-03
9395,11,59,131,,Balkan Cup,,1,1,1978-05-31
9396,59,15,727,,International Friendly,59,4,2,1984-07-29
9397,59,15,877,,International Friendly,59,1,0,1984-07-31
9398,59,19,1307,,FIFA World Cup,59,2,1,1970-06-06
9399,19,59,424,,UEFA European Championship,19,1,0,1971-05-16
9400,59,19,368,,UEFA European Championship,59,2,1,1971-11-14
9401,19,59,1246,,International Friendly,,1,1,1975-03-31
