id,home_team_id,away_team_id,location_id,match_type,competition,winning_team_id,home_team_score,away_team_score,match_date
1,1,2,,,Merdeka Tournament,,0,0,1984-09-05
2,2,1,582,,International Friendly,2,4,3,2007-06-05
3,1,3,,,International Friendly,1,3,1,2014-05-31
4,1,5,2075,,FIFA World Cup,5,0,2,1982-06-21
5,1,6,1770,,Arab Cup,,0,0,1988-07-10
6,6,1,1844,,International Friendly,,0,0,1992-05-19
7,7,1,1376,,International Friendly,,0,0,2002-05-14
8,1,7,1949,,International Friendly,7,1,3,2003-02-12
9,7,1,1140,,FIFA World Cup,7,2,1,2014-06-17
10,1,9,,,International Friendly,9,0,1,2012-11-14
11,1,10,1909,,International Friendly,10,0,3,1965-06-17
12,1,10,415,,International Friendly,10,0,2,1973-06-03
13,10,1,1307,,FIFA World Cup,10,1,0,1986-06-06
14,10,1,732,,International Friendly,10,2,0,2007-08-22
15,1,11,415,,International Friendly,1,2,1,1963-01-06
16,1,11,769,,International Friendly,,1,1,1977-01-11
17,1,11,1710,,International Friendly,11,2,3,1983-08-07
18,11,1,41,,International Friendly,11,2,0,1998-06-05
19,11,1,41,,International Friendly,,0,0,1998-11-05
20,1,11,415,,International Friendly,11,1,2,2000-11-14
21,12,1,1815,,Africa Cup of Nations,,0,0,1984-03-14
22,12,1,1833,,Africa Cup of Nations,12,3,2,1986-03-14
23,12,1,1827,,Afrique Foot,,0,0,1991-02-15
24,1,12,,,Belier Africa Tournament,1,4,0,1995-11-28
25,12,1,1986,,Africa Cup of Nations,12,2,1,1998-02-15
26,12,1,2349,,Africa Cup of Nations,12,2,1,2000-02-06
27,1,12,2307,,Africa Cup of Nations,,1,1,2004-01-25
28,1,12,1061,,FIFA World Cup,,1,1,2016-10-09
29,1,13,415,,International Friendly,1,1,0,1984-10-16
30,15,1,876,,Great Wall,15,3,0,1982-07-30
31,15,1,1365,,Merdeka Tournament,,1,1,1984-08-30
32,1,15,2392,,International Friendly,15,0,1,2004-04-28
33,1,18,415,,International Friendly,18,0,1,1974-06-09
34,1,19,1909,,A v OT,19,0,2,1963-02-26
35,1,19,415,,A v OT,1,4,0,1963-02-28
36,1,20,2310,,Rothmans Tournament,,0,0,1989-02-12
37,22,1,1833,,International Friendly,,2,2,1964-03-22
38,22,1,278,,Africa Cup of Nations,22,1,0,1969-09-19
39,1,22,415,,Africa Cup of Nations,,1,1,1969-09-28
40,1,22,796,,"Arab Cup, Damascus",22,1,3,1974-10-01
41,1,22,415,,Mediterranean Games,1,1,0,1975-08-29
42,1,22,415,,African Games,,1,1,1978-07-13
43,1,22,1282,,Africa Cup of Nations,,2,2,1980-03-19
44,22,1,1261,,Palestine Cup,22,1,0,1983-07-31
45,1,22,1413,,Africa Cup of Nations,1,3,1,1984-03-17
46,1,22,2325,,FIFA World Cup,,0,0,1989-10-08
47,22,1,1628,,FIFA World Cup,22,1,0,1989-11-17
48,1,22,415,,Africa Cup of Nations,1,2,0,1990-03-08
49,1,22,415,,Africa Cup of Nations,1,1,0,1995-01-08
50,22,1,278,,Africa Cup of Nations,,1,1,1995-07-14
51,22,1,1348,,International Friendly,1,1,2,1997-12-20
52,22,1,278,,International Friendly,1,1,2,1997-12-24
53,22,1,1628,,FIFA World Cup,22,5,2,2001-03-11
54,1,22,1949,,FIFA World Cup,,1,1,2001-07-21
55,1,22,2307,,Africa Cup of Nations,1,2,1,2004-01-29
56,1,22,2119,,FIFA World Cup,1,3,1,2009-06-07
57,22,1,1108,,FIFA World Cup,22,2,0,2009-11-14
58,1,22,2426,,FIFA World Cup,1,1,0,2009-11-18
59,1,22,312,,Africa Cup of Nations,22,0,4,2010-01-28
60,1,24,415,,A v B,,0,0,1990-12-11
61,24,1,548,,FIFA World Cup,,0,0,2010-06-18
62,1,26,2310,,Rothmans Tournament,1,2,0,1989-02-08
63,1,27,610,,Mediterranean Games,27,1,3,1967-09-07
64,1,27,415,,Mediterranean Games,1,2,0,1975-08-24
65,1,27,415,,Mediterranean Games,1,3,2,1975-09-06
66,1,27,252,,Mediterranean Games,,1,1,1979-09-21
67,1,27,124,,Mediterranean Games,1,4,0,1987-09-15
68,27,1,1710,,International Friendly,27,4,1,2001-10-06
69,1,28,415,,International Friendly,1,2,0,1964-01-01
70,1,28,762,,FIFA World Cup,1,2,1,1982-06-16
71,28,1,2224,,FIFA World Cup,28,2,1,2014-06-30
72,29,1,1724,,African Games,29,2,0,1973-01-12
73,1,29,415,,African Games,1,2,0,1978-07-26
74,29,1,1282,,Africa Cup of Nations,,0,0,1980-03-09
75,29,1,1722,,Africa Cup of Nations,29,3,2,1982-03-16
76,1,29,1365,,Merdeka Tournament,1,1,0,1983-09-30
77,29,1,1815,,Africa Cup of Nations,1,0,2,1984-03-08
78,1,29,415,,International Friendly,,1,1,1984-07-28
79,29,1,2349,,International Friendly,29,2,1,1984-12-28
80,29,1,2349,,FIFA World Cup,29,2,0,1992-12-20
81,1,29,1138,,FIFA World Cup,1,2,1,1993-02-26
82,1,29,415,,International Friendly,,1,1,2001-12-05
83,29,1,1779,,Africa Cup of Nations,29,1,0,2015-01-23
84,1,30,415,,Mediterranean Games,1,5,0,1975-08-26
85,1,30,252,,Mediterranean Games,1,2,1,1979-09-29
86,30,1,124,,Mediterranean Games,30,1,0,1987-09-17
87,34,1,876,,Great Wall Cup,34,1,0,1983-07-13
88,1,35,415,,A v OT,35,0,3,1963-12-28
89,35,1,1955,,U v A,35,7,0,1967-08-16
90,35,1,1328,,"Four Team Tournament, Mexico",35,3,1,1985-12-11
91,1,37,438,,International Friendly,1,1,0,1981-06-30
92,37,1,2088,,Afro-Asian Cup of Nations,37,2,1,1991-09-27
93,1,37,415,,Afro-Asian Cup of Nations,1,1,0,1991-10-13
94,1,38,22,,Palestine Cup,,0,0,1973-08-15
95,1,38,1738,,Palestine Cup,,0,0,1973-08-25
96,38,1,2403,,International Friendly,38,3,0,1978-02-22
97,38,1,2403,,International Friendly,38,1,0,1978-02-23
98,1,38,415,,International Friendly,,1,1,1978-07-02
99,1,40,610,,Mediterranean Games,40,0,2,1967-09-09
100,40,1,2180,,International Friendly,40,1,0,1989-11-11
101,41,1,488,,African Games,41,1,0,1965-07-19
102,1,41,1876,,African Games,41,0,1,1965-07-25
103,41,1,1876,,African Games,1,0,1,1965-07-27
104,41,1,1876,,International Friendly,,1,1,1965-11-18
105,41,1,2079,,Africa Cup of Nations,41,3,0,1968-01-12
106,1,41,415,,International Friendly,1,3,0,1983-08-23
107,41,1,2054,,International Friendly,,1,1,1985-01-01
108,1,41,415,,International Friendly,1,2,1,1986-12-11
109,1,41,415,,International Friendly,1,2,1,1986-12-14
110,1,41,1261,,Africa Cup of Nations,,1,1,1988-03-13
111,41,1,1413,,FIFA World Cup,,0,0,1989-06-11
112,1,41,1205,,FIFA World Cup,1,1,0,1989-08-25
113,1,41,415,,Africa Cup of Nations,1,3,0,1990-03-05
114,1,41,2302,,Africa Cup of Nations,41,0,3,1992-01-13
115,1,41,1138,,FIFA World Cup,,1,1,1993-04-16
116,41,1,2054,,FIFA World Cup,41,1,0,1993-07-18
117,41,1,,,Belier Africa Tournament,,0,0,1995-11-26
118,41,1,,,Belier Africa Tournament,,0,0,1995-12-02
119,1,41,415,,Africa Cup of Nations,1,4,1,1996-10-06
120,41,1,2156,,Africa Cup of Nations,41,2,1,1997-06-22
121,41,1,1823,,Africa Cup of Nations,1,2,3,2010-01-24
122,1,41,,,Africa Cup of Nations,,2,2,2013-01-30
123,41,1,2454,,Africa Cup of Nations,41,3,1,2015-02-01
124,45,1,432,,Nehru Cup,45,3,1,1985-01-30
125,45,1,1411,,"Four Team Tournament, Mexico",45,2,0,1985-12-13
126,45,1,2224,,FIFA World Cup,1,2,4,2014-06-22
127,47,1,655,,"Four Team Tournament, Mexico",47,2,0,1985-12-07
128,1,48,415,,International Friendly,,0,0,1965-10-31
129,48,1,1261,,International Friendly,48,1,0,1966-02-28
130,1,48,415,,International Friendly,,2,2,1966-11-24
131,48,1,1261,,International Friendly,,2,2,1966-12-15
132,48,1,1261,,International Friendly,,0,0,1967-01-31
133,1,48,610,,Mediterranean Games,1,3,1,1967-08-31
134,48,1,1261,,International Friendly,,0,0,1968-03-17
135,1,48,415,,Africa Cup of Nations,1,2,0,1969-03-09
136,48,1,318,,Africa Cup of Nations,48,1,0,1969-03-23
137,1,48,415,,International Friendly,1,1,0,1969-11-01
138,1,48,415,,Africa Cup of Nations,1,3,1,1970-12-10
139,48,1,1261,,Africa Cup of Nations,48,3,0,1970-12-27
140,1,48,415,,International Friendly,1,2,1,1973-10-31
141,48,1,1261,,International Friendly,48,2,0,1974-04-07
142,1,48,796,,"Arab Cup, Damascus",48,0,1,1974-10-05
143,1,48,1282,,Africa Cup of Nations,1,1,0,1980-03-13
144,1,48,876,,Great Wall,48,0,1,1982-07-27
145,48,1,432,,Nehru Cup,48,4,0,1985-01-21
146,48,1,1261,,Pan Arab Games,48,1,0,1985-08-13
147,1,48,1833,,Africa Cup of Nations,,0,0,1986-03-08
148,48,1,124,,Mediterranean Games,48,2,1,1987-09-19
149,48,1,1261,,Africa Cup of Nations,48,1,0,1988-03-16
150,48,1,1261,,Africa Cup of Nations,,1,1,1988-03-26
151,1,48,415,,International Friendly,,1,1,1989-03-22
152,48,1,1261,,International Friendly,48,1,0,1989-05-24
153,1,48,1949,,International Friendly,,2,2,1991-04-03
154,48,1,1261,,International Friendly,,1,1,1991-12-26
155,48,1,1261,,International Friendly,,0,0,1993-09-22
156,48,1,,,FIFA World Cup,48,2,1,2000-07-09
157,1,48,415,,FIFA World Cup,48,1,2,2001-05-04
158,48,1,1598,,Africa Cup of Nations,48,3,1,2004-02-08
159,1,48,,,Africa Cup of Nations,1,1,0,2011-03-27
160,48,1,,,Africa Cup of Nations,48,4,0,2011-06-04
161,1,51,1359,,FIFA World Cup,,1,1,1986-06-03
162,52,1,2157,,International Friendly,1,0,1,1996-05-27
163,52,1,2157,,International Friendly,1,0,1,1996-05-29
164,52,1,,,International Friendly,,0,0,1998-08-29
165,52,1,,,International Friendly,52,2,0,1998-08-31
166,52,1,,,International Friendly,1,1,4,2015-03-30
167,1,56,415,,International Friendly,,1,1,1982-04-25
168,1,58,415,,International Friendly,1,2,0,1982-04-28
169,58,1,677,,International Friendly,58,3,0,2010-05-28
170,1,59,1909,,A v B,,0,0,1964-10-11
171,1,59,415,,International Friendly,,1,1,1984-02-07
172,1,59,415,,International Friendly,,0,0,1990-02-04
173,1,59,1949,,International Friendly,1,3,2,2000-12-05
174,1,59,1949,,International Friendly,59,2,3,2000-12-08
175,1,59,,,International Friendly,1,2,1,2014-06-04
176,61,1,664,,International Friendly,61,4,2,1984-02-21
177,61,1,1261,,Pan Arab Games,61,3,1,1985-08-09
178,61,1,835,,International Friendly,,0,0,1986-02-17
179,61,1,835,,International Friendly,,1,1,1986-02-22
180,61,1,529,,Arab Cup,61,3,0,1998-09-25
181,1,63,415,,International Friendly,63,0,3,2010-03-03
182,1,64,415,,International Friendly,,1,1,2001-02-27
183,65,1,659,,Africa Cup of Nations,65,2,1,1996-01-27
184,65,1,574,,Africa Cup of Nations,,1,1,2000-02-02
185,65,1,,,International Friendly,,0,0,2013-01-12
186,1,65,1779,,Africa Cup of Nations,1,3,1,2015-01-19
187,66,1,1194,,FIFA World Cup,66,3,0,1986-06-12
188,67,1,1184,,International Friendly,67,4,0,1975-05-19
189,1,67,415,,International Friendly,67,0,2,1976-03-08
190,67,1,11,,International Friendly,67,2,0,1989-05-31
191,1,67,415,,International Friendly,,1,1,1990-04-11
192,1,68,415,,International Friendly,68,1,2,1983-11-30
193,68,1,1662,,International Friendly,68,2,0,1986-05-06
194,70,1,610,,International Friendly,70,1,0,1932-11-13
195,1,70,415,,International Friendly,70,0,3,1933-11-13
196,1,70,415,,International Friendly,,2,2,1934-11-11
197,1,70,415,,International Friendly,70,2,4,1935-11-10
198,70,1,610,,International Friendly,1,1,5,1958-05-03
199,70,1,610,,International Friendly,1,1,5,1958-05-11
200,70,1,610,,International Friendly,1,0,8,1959-10-03
201,70,1,610,,International Friendly,,0,0,1963-12-15
202,1,70,415,,African Games,1,1,0,1964-12-27
203,70,1,610,,African Games,,0,0,1965-03-14
204,1,70,1535,,FIFA World Cup,70,1,2,1968-11-17
205,70,1,388,,FIFA World Cup,,0,0,1968-12-29
206,70,1,610,,International Friendly,1,1,2,1972-11-16
207,1,70,415,,International Friendly,70,1,2,1974-05-12
208,70,1,796,,"Arab Cup, Damascus",70,1,0,1974-10-03
209,70,1,610,,International Friendly,,1,1,1975-03-23
210,70,1,393,,Africa Cup of Nations,,1,1,1975-04-06
211,1,70,415,,Mediterranean Games,1,2,1,1975-09-04
212,70,1,610,,International Friendly,70,3,0,1976-11-04
213,70,1,388,,FIFA World Cup,70,2,0,1977-02-06
214,1,70,415,,FIFA World Cup,,1,1,1977-02-28
215,1,70,252,,Mediterranean Games,,1,1,1979-09-23
216,70,1,610,,International Friendly,1,0,1,1982-02-07
217,70,1,610,,International Friendly,1,0,1,1982-12-12
218,70,1,610,,International Friendly,1,0,1,1982-12-19
219,70,1,1261,,Mediterranean Games,70,3,2,1983-09-11
220,1,70,415,,International Friendly,1,3,1,1984-12-30
221,70,1,610,,International Friendly,70,1,0,1985-05-01
222,70,1,388,,FIFA World Cup,1,1,4,1985-10-06
223,1,70,415,,FIFA World Cup,1,3,0,1985-10-18
224,1,70,415,,International Friendly,1,2,0,1987-01-04
225,70,1,610,,International Friendly,1,0,2,1987-01-11
226,1,70,415,,Africa Cup of Nations,1,1,0,1987-03-27
227,70,1,610,,Africa Cup of Nations,,1,1,1987-04-12
228,1,70,,,Arab NC,,0,0,1987-12-11
229,70,1,388,,International Friendly,,1,1,1988-11-05
230,1,70,415,,International Friendly,1,2,0,1989-04-04
231,70,1,388,,International Friendly,,0,0,1989-11-01
232,1,70,415,,International Friendly,1,2,1,1991-03-05
233,70,1,388,,International Friendly,,0,0,1991-04-07
234,70,1,388,,International Friendly,,1,1,1992-09-23
235,70,1,1598,,International Friendly,70,1,0,1994-12-16
236,1,70,415,,International Friendly,1,2,1,1995-07-22
237,70,1,388,,7 November Tournament,70,2,0,1995-11-05
238,70,1,1598,,International Friendly,,0,0,1997-01-04
239,70,1,388,,International Friendly,1,0,1,1997-05-31
240,1,70,415,,Africa Cup of Nations,70,0,1,1999-01-24
241,70,1,388,,Africa Cup of Nations,70,2,0,1999-06-06
242,70,1,610,,International Friendly,,2,2,2000-06-28
243,1,70,,,International Friendly,1,1,0,2011-11-12
244,70,1,46,,Africa Cup of Nations,70,1,0,2013-01-22
245,1,71,415,,International Friendly,1,1,0,1972-10-04
246,71,1,513,,International Friendly,71,4,0,1973-02-14
247,71,1,1143,,International Friendly,1,0,1,1979-02-28
248,71,1,2155,,Mediterranean Games,1,0,1,1979-09-25
249,1,71,1261,,Mediterranean Games,1,1,0,1983-09-13
250,1,73,22,,Palestine Cup,1,2,0,1973-08-13
251,73,1,1261,,Pan Arab Games,73,1,0,1985-08-05
252,73,1,1666,,International Friendly,73,2,0,1988-11-27
253,1,73,415,,International Friendly,,0,0,1992-11-24
254,1,73,2283,,International Friendly,1,1,0,2008-08-20
255,1,73,33,,International Friendly,1,1,0,2010-06-04
256,1,73,,,International Friendly,1,1,0,2010-06-05
257,1,74,415,,International Friendly,1,1,0,2009-08-12
258,75,1,999,,FIFA World Cup,75,1,0,2010-06-23
259,1,60,1535,,International Friendly,,2,2,1964-11-04
260,1,60,1535,,A v B,,2,2,1964-11-05
261,1,60,1535,,*,60,0,1,1965-12-19
262,1,60,1909,,*,60,0,3,1966-11-20
263,1,79,415,,A v Under-23,,1,1,1963-10-31
264,1,79,415,,A v OT,79,0,1,1974-02-26
265,1,79,415,,International Friendly,79,1,2,1976-02-24
266,79,1,1509,,Mediterranean Games,79,3,2,1979-09-27
267,1,80,415,,Africa Cup of Nations,1,2,0,1977-06-12
268,80,1,2425,,Africa Cup of Nations,80,2,0,1977-06-26
269,80,1,2425,,International Friendly,1,0,3,1978-10-28
270,80,1,1722,,Africa Cup of Nations,1,0,1,1982-03-07
271,1,80,438,,Africa Cup of Nations,80,0,2,1982-03-18
272,1,80,415,,FIFA World Cup,1,2,0,1985-07-13
273,80,1,2425,,FIFA World Cup,1,0,1,1985-07-28
274,80,1,1833,,Africa Cup of Nations,,0,0,1986-03-11
275,80,1,2338,,Africa Cup of Nations,,0,0,1996-01-14
276,80,1,1432,,Tournament,,0,0,1997-09-30
277,80,1,237,,FIFA World Cup,1,0,2,2009-06-20
278,1,80,2119,,FIFA World Cup,1,1,0,2009-09-06
279,4,2,203,,Bicentennial Gold Cup,4,4,1,1988-07-14
280,2,4,630,,International Friendly,2,2,0,1992-06-18
281,4,2,203,,FIFA World Cup,,1,1,1993-10-31
282,2,4,1318,,FIFA World Cup,2,1,0,1993-11-17
283,2,4,1583,,International Friendly,2,2,0,1995-06-30
284,4,2,1582,,FIFA Confederations Cup,2,2,4,2005-06-18
285,4,2,292,,International Friendly,2,0,1,2007-09-11
286,5,2,1756,,*,5,1,0,1966-06-25
287,5,2,2175,,International Friendly,2,1,5,1980-05-21
288,5,2,2175,,International Friendly,,1,1,1990-05-03
289,2,7,582,,FIFA World Cup,7,0,1,1982-06-13
290,2,7,541,,FIFA World Cup,2,2,0,1986-06-25
291,2,7,477,,FIFA World Cup,2,1,0,2014-07-05
292,2,8,271,,Copa America,2,5,0,1926-10-16
293,2,8,1763,,Copa America,2,7,1,1927-10-30
294,2,8,,,Copa America,2,4,0,1945-01-18
295,2,8,1555,,Copa America,2,7,1,1946-01-19
296,2,8,1419,,Copa America,2,7,0,1947-12-04
297,8,2,1319,,FIFA World Cup,8,2,0,1957-10-06
298,2,8,385,,FIFA World Cup,2,4,0,1957-10-27
299,2,8,1169,,Copa America,2,2,0,1959-03-11
300,8,2,907,,Copa America,8,3,2,1963-03-28
301,2,8,1169,,FIFA World Cup,2,4,1,1965-08-17
302,8,2,907,,FIFA World Cup,2,1,2,1965-08-29
303,2,8,1589,,Copa America,2,1,0,1967-01-22
304,8,2,907,,FIFA World Cup,8,3,1,1969-07-27
305,2,8,1822,,FIFA World Cup,2,1,0,1969-08-24
306,2,8,1299,,FIFA World Cup,2,4,0,1973-09-09
307,8,2,907,,FIFA World Cup,2,0,1,1973-09-23
308,8,2,1502,,Copa Cornelio Saavedra,2,1,2,1975-06-20
309,2,8,1502,,International Friendly,2,2,1,1975-06-27
310,8,2,907,,Copa America,8,2,1,1979-07-18
311,2,8,94,,Copa America,2,3,0,1979-08-08
312,2,8,1110,,Copa America,,0,0,1989-07-10
313,2,8,2460,,Copa America,2,1,0,1993-06-17
314,2,8,2380,,Copa America,2,2,1,1995-07-08
315,2,8,1532,,FIFA World Cup,2,3,1,1996-04-24
316,8,2,907,,FIFA World Cup,8,2,1,1997-04-02
317,2,8,8,,FIFA World Cup,2,1,0,2000-06-04
318,8,2,907,,FIFA World Cup,,3,3,2001-04-25
319,2,8,1169,,FIFA World Cup,2,3,0,2003-11-15
320,8,2,907,,FIFA World Cup,2,1,2,2005-03-26
321,2,8,630,,FIFA World Cup,2,3,0,2007-11-17
322,8,2,907,,FIFA World Cup,8,6,1,2009-04-01
323,2,8,1245,,Copa America,,1,1,2011-07-01
324,2,8,630,,FIFA World Cup,,1,1,2011-11-11
325,8,2,907,,FIFA World Cup,,1,1,2013-03-26
326,2,8,,,International Friendly,2,5,0,2015-06-06
327,2,8,1674,,International Friendly,2,7,0,2015-09-04
328,2,8,620,,FIFA World Cup,2,2,0,2016-03-29
329,8,2,1030,,Copa America,2,0,3,2016-06-14
330,2,9,643,,International Friendly,2,5,0,1998-05-14
331,2,9,676,,International Friendly,2,2,0,2013-11-18
332,2,9,606,,FIFA World Cup,2,2,1,2014-06-15
333,2,10,1961,,Copa Premio Honor Argentino,2,4,0,1912-08-22
334,2,10,1190,,International Friendly,2,3,0,1914-09-20
335,2,10,1190,,Copa Julio Roca,10,0,1,1914-09-27
336,2,10,1190,,Copa America,,1,1,1916-07-10
337,2,10,1961,,Copa Julio Roca,10,0,1,1916-09-27
338,2,10,1229,,Copa America,2,4,2,1917-10-03
339,10,2,710,,Copa America,10,3,1,1919-05-18
340,10,2,710,,Copa Roberto Cherry,,3,3,1919-06-01
341,10,2,1266,,Copa America,2,0,2,1920-09-25
342,2,10,1961,,International Friendly,2,3,1,1920-10-12
343,2,10,1329,,Copa America,2,1,0,1921-10-02
344,10,2,710,,Copa America,10,2,0,1922-10-15
345,10,2,1715,,Copa Julio Roca,10,2,1,1922-10-22
346,2,10,1229,,Copa America,2,2,1,1923-11-18
347,2,10,1329,,Copa Confraternidad,10,0,2,1923-12-02
348,2,10,1329,,Copa Julio Roca,2,2,0,1923-12-09
349,2,10,1329,,Copa America,2,4,1,1925-12-13
350,2,10,2435,,Copa America,,2,2,1925-12-25
351,2,10,1555,,Copa America,2,1,0,1937-01-30
352,2,10,1555,,Copa America,2,2,0,1937-02-01
353,10,2,1304,,Copa Julio Roca,2,1,5,1939-01-15
354,10,2,1304,,Copa Julio Roca,10,3,2,1939-01-22
355,10,2,1715,,Copa Julio Roca,,2,2,1940-02-18
356,10,2,1715,,Copa Julio Roca,2,0,3,1940-02-25
357,2,10,1555,,Copa Julio Roca,2,6,1,1940-03-05
358,2,10,1555,,Copa Julio Roca,10,2,3,1940-03-10
359,2,10,385,,Copa Julio Roca,2,5,1,1940-03-17
360,2,10,1589,,Copa America,2,2,1,1942-01-17
361,2,10,,,Copa America,2,3,1,1945-02-15
362,10,2,1322,,Copa Julio Roca,2,3,4,1945-12-16
363,10,2,1304,,Copa Julio Roca,10,6,2,1945-12-20
364,10,2,1304,,Copa Julio Roca,10,3,1,1945-12-23
365,2,10,1169,,Copa America,2,2,0,1946-02-10
366,10,2,1589,,Copa America,10,1,0,1956-02-05
367,10,2,874,,Panamerican Championship,,2,2,1956-03-18
368,2,10,1961,,Copa del Atlantico,,0,0,1956-07-08
369,10,2,2154,,International Friendly,2,1,2,1956-12-05
370,2,10,1763,,Copa America,2,3,0,1957-04-03
371,10,2,2154,,Copa Julio Roca,2,1,2,1957-07-07
372,10,2,1322,,Copa Julio Roca,10,2,0,1957-07-10
373,2,10,1169,,Copa America,,1,1,1959-04-04
374,2,10,1214,,Copa America,2,4,1,1959-12-22
375,2,10,1764,,Panamerican Championship,2,2,1,1960-03-13
376,10,2,1764,,Panamerican Championship,10,1,0,1960-03-20
377,2,10,1630,,Copa Julio Roca,2,4,2,1960-05-25
378,2,10,1169,,Copa Julio Roca,10,1,4,1960-05-29
379,10,2,2154,,Copa del Atlantico,10,5,1,1960-07-12
380,10,2,1763,,SA NOVOS,,0,0,1962-02-03
381,2,10,907,,Copa America,2,3,0,1963-03-24
382,10,2,2144,,Copa Julio Roca,2,2,3,1963-04-13
383,10,2,2154,,Copa Julio Roca,10,5,2,1963-04-16
384,10,2,1322,,Copa das Nacoes,2,0,3,1964-06-03
385,10,2,2154,,International Friendly,10,3,0,1964-09-07
386,10,2,2154,,International Friendly,,0,0,1965-06-09
387,10,2,2154,,International Friendly,10,4,1,1968-08-07
388,10,2,1140,,International Friendly,10,3,2,1968-08-11
389,10,2,2224,,International Friendly,2,0,2,1970-03-04
390,10,2,2154,,International Friendly,10,2,1,1970-03-08
391,2,10,1630,,Copa Julio Roca,,1,1,1971-07-28
392,2,10,1630,,Copa Julio Roca,,2,2,1971-07-31
393,2,10,906,,FIFA World Cup,10,1,2,1974-06-30
394,10,2,1140,,Copa America,10,2,1,1975-08-06
395,2,10,1508,,Copa America,10,0,1,1975-08-16
396,2,10,1630,,Copa del Atlantico,10,1,2,1976-02-27
397,10,2,2154,,Copa del Atlantico,10,2,0,1976-05-19
398,2,10,1508,,FIFA World Cup,,0,0,1978-06-18
399,10,2,2154,,Copa America,10,2,1,1979-08-02
400,2,10,1169,,Copa America,,2,2,1979-08-23
401,2,10,1589,,Gold Cup,,1,1,1981-01-04
402,10,2,294,,FIFA World Cup,10,3,1,1982-07-02
403,2,10,1318,,Copa America,2,1,0,1983-08-24
404,10,2,2154,,Copa America,,0,0,1983-09-14
405,10,2,2144,,International Friendly,,0,0,1984-06-17
406,10,2,908,,International Friendly,10,2,1,1985-05-05
407,10,2,2154,,Copa America,10,2,0,1989-07-12
408,10,2,1067,,FIFA World Cup,2,0,1,1990-06-24
409,2,10,1961,,International Friendly,,3,3,1991-03-27
410,10,2,405,,International Friendly,,1,1,1991-06-27
411,10,2,,,Copa America,2,2,3,1991-07-17
412,2,10,1169,,International Friendly,,1,1,1993-02-18
413,10,2,2460,,Copa America,,1,1,1993-06-27
414,10,2,689,,International Friendly,10,2,0,1994-03-24
415,10,2,1368,,Copa America,,2,2,1995-07-17
416,2,10,1318,,International Friendly,10,0,1,1995-11-08
417,10,2,2154,,International Friendly,2,0,1,1998-04-29
418,10,2,2183,,Copa America,10,2,1,1999-07-11
419,2,10,630,,International Friendly,2,2,0,1999-09-04
420,10,2,2070,,International Friendly,10,4,2,1999-09-07
421,10,2,2144,,FIFA World Cup,10,3,1,2000-07-26
422,2,10,1169,,FIFA World Cup,2,2,1,2001-09-05
423,10,2,222,,FIFA World Cup,10,3,1,2004-06-02
424,2,10,1763,,Copa America,,2,2,2004-07-25
425,2,10,1169,,FIFA World Cup,2,3,1,2005-06-08
426,10,2,1361,,FIFA Confederations Cup,10,4,1,2005-06-29
427,10,2,2424,,International Friendly,10,3,0,2006-09-03
428,2,10,64,,Copa America,10,0,3,2007-07-15
429,10,2,1140,,FIFA World Cup,,0,0,2008-06-18
430,2,10,1508,,FIFA World Cup,10,1,3,2009-09-05
431,2,10,2078,,International Friendly,2,1,0,2010-11-17
432,2,10,620,,Superclasico de las Americas,,0,0,2011-09-14
433,10,2,433,,Superclasico de las Americas,10,2,0,2011-09-28
434,2,10,753,,International Friendly,2,4,3,2012-06-09
435,10,2,1110,,Superclasico de las Americas,10,2,1,2012-09-20
436,2,10,1607,,Superclasico de las Americas,2,2,1,2012-11-21
437,10,2,1605,,International Friendly,10,2,0,2014-10-11
438,2,10,630,,FIFA World Cup,,1,1,2015-11-13
439,2,11,1918,,FIFA World Cup,2,1,0,1962-05-30
440,2,11,752,,International Friendly,2,3,1,1978-03-29
441,2,11,1169,,International Friendly,2,2,1,1979-04-25
442,2,11,1169,,International Friendly,2,2,0,1980-10-09
443,2,11,94,,International Friendly,2,2,1,1982-05-05
444,2,11,874,,FIFA World Cup,2,2,0,1986-06-10
445,2,11,2395,,FIFA World Cup,11,0,2,1994-06-30
446,2,11,1911,,International Friendly,2,4,1,1995-02-14
447,2,11,1961,,International Friendly,2,2,0,1998-03-10
448,2,12,797,,FIFA World Cup,12,0,1,1990-06-08
449,12,2,1662,,International Friendly,,2,2,2002-03-27
450,2,13,630,,International Friendly,2,5,0,2010-05-24
451,15,2,419,,Nehru Cup,15,1,0,1984-01-20
452,2,16,,,Copa America,2,9,1,1945-02-07
453,2,16,1419,,Copa America,2,6,0,1947-12-18
454,2,16,1763,,Copa America,2,8,2,1957-03-13
455,2,16,352,,Copa America,2,4,2,1963-03-10
456,2,16,908,,Independence,2,4,1,1972-06-22
457,16,2,277,,International Friendly,16,1,0,1984-08-24
458,16,2,277,,FIFA World Cup,2,1,3,1985-06-02
459,2,16,1961,,FIFA World Cup,2,1,0,1985-06-16
460,2,16,1746,,South American Games,2,3,1,1986-11-24
461,2,16,1174,,South American Games,2,2,0,1986-12-06
462,2,16,1169,,Copa America,16,1,2,1987-07-11
463,16,2,1372,,International Friendly,16,1,0,1989-03-09
464,2,16,,,Copa America,2,2,1,1991-07-21
465,2,16,2460,,Copa America,,1,1,1993-06-23
466,2,16,2460,,Copa America,,0,0,1993-07-01
