"url" "id"
"/matches/ivory-coast-v-algeria-27-july-1965-229107/" "229107"
"/matches/ivory-coast-v-algeria-18-november-1965-229229/" "229229"
"/matches/ivory-coast-v-algeria-12-january-1968-230133/" "230133"
"/matches/algeria-v-ivory-coast-23-august-1983-237898/" "237898"
"/matches/ivory-coast-v-algeria-01-january-1985-238935/" "238935"
"/matches/algeria-v-ivory-coast-11-december-1986-240169/" "240169"
"/matches/algeria-v-ivory-coast-14-december-1986-240173/" "240173"
"/matches/algeria-v-ivory-coast-13-march-1988-240968/" "240968"
"/matches/ivory-coast-v-algeria-11-june-1989-241862/" "241862"
"/matches/algeria-v-ivory-coast-25-august-1989-242007/" "242007"
"/matches/algeria-v-ivory-coast-05-march-1990-242300/" "242300"
"/matches/algeria-v-ivory-coast-13-january-1992-243383/" "243383"
"/matches/algeria-v-ivory-coast-16-april-1993-244268/" "244268"
"/matches/ivory-coast-v-algeria-18-july-1993-244555/" "244555"
"/matches/ivory-coast-v-algeria-26-november-1995-246154/" "246154"
"/matches/ivory-coast-v-algeria-02-december-1995-246268/" "246268"
"/matches/algeria-v-ivory-coast-06-october-1996-247017/" "247017"
"/matches/ivory-coast-v-algeria-22-june-1997-247851/" "247851"
"/matches/ivory-coast-v-algeria-24-january-2010-289194/" "289194"
"/matches/algeria-v-ivory-coast-30-january-2013-303751/" "303751"
"/matches/ivory-coast-v-algeria-01-february-2015-314756/" "314756"
"/matches/korea-republic-v-algeria-30-january-1985-238960/" "238960"
"/matches/korea-republic-v-algeria-13-december-1985-239596/" "239596"
"/matches/korea-republic-v-algeria-22-june-2014-308683/" "308683"
"/matches/mexico-v-algeria-07-december-1985-239579/" "239579"
"/matches/algeria-v-morocco-28-february-1963-228298/" "228298"
"/matches/algeria-v-morocco-31-october-1965-229199/" "229199"
"/matches/morocco-v-algeria-28-february-1966-229292/" "229292"
"/matches/algeria-v-morocco-24-november-1966-229586/" "229586"
"/matches/morocco-v-algeria-15-december-1966-229643/" "229643"
"/matches/morocco-v-algeria-31-january-1967-229695/" "229695"
"/matches/algeria-v-morocco-31-august-1967-229955/" "229955"
"/matches/morocco-v-algeria-17-march-1968-230173/" "230173"
"/matches/algeria-v-morocco-09-march-1969-230553/" "230553"
"/matches/morocco-v-algeria-23-march-1969-230563/" "230563"
"/matches/algeria-v-morocco-01-november-1969-230783/" "230783"
"/matches/algeria-v-morocco-10-december-1970-231205/" "231205"
"/matches/morocco-v-algeria-27-december-1970-231228/" "231228"
"/matches/algeria-v-morocco-31-october-1973-232628/" "232628"
"/matches/morocco-v-algeria-07-april-1974-232782/" "232782"
"/matches/algeria-v-morocco-05-october-1974-233000/" "233000"
"/matches/algeria-v-morocco-13-march-1980-235771/" "235771"
