home_rating,away_rating,win,draw,loss
65,67,0.3177570093457944,0.2570093457943925,0.4252336448598131
75,75,0.0,0.24528301886792453,0.7547169811320755
63,77,0.2727272727272727,0.09090909090909091,0.6363636363636364
70,70,0.0,0.2692307692307692,0.7307692307692307
67,64,0.4057971014492754,0.2826086956521739,0.3115942028985507
73,72,0.3227848101265823,0.24050632911392406,0.43670886075949367
74,70,0.4186046511627907,0.18604651162790697,0.3953488372093023
70,63,0.5,0.125,0.375
69,77,0.4266666666666667,0.17333333333333334,0.4
76,69,0.4406779661016949,0.1864406779661017,0.3728813559322034
65,70,0.5416666666666666,0.041666666666666664,0.4166666666666667
71,75,0.13333333333333333,0.26666666666666666,0.6
65,75,0.3333333333333333,0.2222222222222222,0.4444444444444444
73,65,0.4117647058823529,0.17647058823529413,0.4117647058823529
74,63,0.38461538461538464,0.07692307692307693,0.5384615384615384
76,66,0.59375,0.15625,0.25
73,64,0.4411764705882353,0.17647058823529413,0.38235294117647056
67,57,0.2857142857142857,0.5714285714285714,0.14285714285714285
69,69,0.0,0.2714285714285714,0.7285714285714285
75,69,0.4462809917355372,0.24793388429752067,0.30578512396694213
76,77,0.42857142857142855,0.22857142857142856,0.34285714285714286
77,74,0.37755102040816324,0.2755102040816326,0.3469387755102041
71,70,0.2807017543859649,0.30701754385964913,0.41228070175438597
68,68,0.0,0.0625,0.9375
65,63,0.46564885496183206,0.22900763358778625,0.3053435114503817
70,67,0.2631578947368421,0.2807017543859649,0.45614035087719296
66,66,0.0,0.18181818181818182,0.8181818181818182
77,77,0.0,0.0,1.0
76,74,0.4931506849315068,0.1643835616438356,0.3424657534246575
68,63,0.5,0.1875,0.3125
57,77,0.26666666666666666,0.0,0.7333333333333333
63,63,0.0,0.3157894736842105,0.6842105263157895
74,73,0.40054495912806537,0.22888283378746593,0.37057220708446864
75,77,0.33783783783783783,0.28378378378378377,0.3783783783783784
67,66,0.3569230769230769,0.24615384615384617,0.39692307692307693
64,64,0.0,0.25,0.75
74,68,0.3862433862433862,0.2222222222222222,0.3915343915343915
70,75,0.2830188679245283,0.3584905660377358,0.3584905660377358
76,71,0.6666666666666666,0.3333333333333333,0.0
73,67,0.345679012345679,0.25925925925925924,0.3950617283950617
57,70,0.35714285714285715,0.14285714285714285,0.5
72,63,0.47368421052631576,0.21052631578947367,0.3157894736842105
75,64,0.4626865671641791,0.2835820895522388,0.2537313432835821
71,69,0.4028436018957346,0.22274881516587677,0.3744075829383886
64,69,0.38565022421524664,0.23766816143497757,0.37668161434977576
74,65,0.6923076923076923,0.07692307692307693,0.23076923076923078
71,64,0.3076923076923077,0.15384615384615385,0.5384615384615384
64,72,0.40350877192982454,0.23684210526315788,0.35964912280701755
73,70,0.42857142857142855,0.2087912087912088,0.3626373626373626
69,67,0.30434782608695654,0.23478260869565218,0.4608695652173913
67,76,0.3283582089552239,0.23880597014925373,0.43283582089552236
68,70,0.30666666666666664,0.3333333333333333,0.36
65,76,0.29411764705882354,0.23529411764705882,0.47058823529411764
74,74,0.0,0.36363636363636365,0.6363636363636364
66,63,0.35714285714285715,0.32857142857142857,0.3142857142857143
76,64,0.39655172413793105,0.20689655172413793,0.39655172413793105
73,73,0.0,0.14285714285714285,0.8571428571428571
57,76,0.16666666666666666,0.5,0.3333333333333333
65,65,0.0,0.11320754716981132,0.8867924528301887
64,57,0.42857142857142855,0.35714285714285715,0.21428571428571427
76,68,0.5909090909090909,0.13636363636363635,0.2727272727272727
71,63,0.6,0.2,0.2
65,71,0.35714285714285715,0.2857142857142857,0.35714285714285715
71,72,0.2828282828282828,0.21212121212121213,0.5050505050505051
64,66,0.5,0.15384615384615385,0.34615384615384615
73,76,0.35789473684210527,0.29473684210526313,0.3473684210526316
74,66,0.417910447761194,0.19402985074626866,0.3880597014925373
71,77,0.4666666666666667,0.26666666666666666,0.26666666666666666
72,77,0.3402061855670103,0.25773195876288657,0.4020618556701031
73,68,0.39655172413793105,0.1896551724137931,0.41379310344827586
57,68,0.45454545454545453,0.0,0.5454545454545454
65,77,0.26666666666666666,0.26666666666666666,0.4666666666666667
71,71,0.0,0.2857142857142857,0.7142857142857143
70,66,0.5641025641025641,0.1282051282051282,0.3076923076923077
64,74,0.4351145038167939,0.17557251908396945,0.3893129770992366
64,63,0.49473684210526314,0.16842105263157894,0.3368421052631579
67,71,0.43333333333333335,0.325,0.24166666666666667
69,65,0.4444444444444444,0.1111111111111111,0.4444444444444444
72,69,0.44327176781002636,0.23746701846965698,0.31926121372031663
67,72,0.3881278538812785,0.2146118721461187,0.3972602739726027
71,66,0.2857142857142857,0.42857142857142855,0.2857142857142857
72,57,0.6923076923076923,0.15384615384615385,0.15384615384615385
74,72,0.3482142857142857,0.2857142857142857,0.36607142857142855
75,74,0.40939597315436244,0.28187919463087246,0.3087248322147651
69,63,0.45454545454545453,0.4090909090909091,0.13636363636363635
